Fe nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
1.000000E+10 1.311395754E+00 1.214070287E+00 9.732546700E-02 1.222686617E+00 1.159689610E+00 6.299700700E-02 8.870913700E-02 5.438067700E-02
1.468000E+10 1.311572019E+00 1.215024046E+00 9.654797300E-02 1.244955864E+00 1.174708094E+00 7.024777000E-02 6.661615500E-02 4.031595200E-02
2.154000E+10 1.311827203E+00 1.216377124E+00 9.545007900E-02 1.262979190E+00 1.187191275E+00 7.578791500E-02 4.884801300E-02 2.918584900E-02
3.162000E+10 1.312194276E+00 1.218268355E+00 9.392592100E-02 1.277049397E+00 1.197537897E+00 7.951150000E-02 3.514487900E-02 2.073045800E-02
4.642000E+10 1.312717678E+00 1.220858356E+00 9.185932200E-02 1.287812876E+00 1.206354023E+00 8.145885300E-02 2.490480200E-02 1.450433300E-02
6.813000E+10 1.313454717E+00 1.224308310E+00 8.914640700E-02 1.296024945E+00 1.214282686E+00 8.174225900E-02 1.742977200E-02 1.002562400E-02
1.000000E+11 1.314474826E+00 1.228740277E+00 8.573454900E-02 1.302405359E+00 1.221880022E+00 8.052533700E-02 1.206946700E-02 6.860255000E-03
1.468000E+11 1.315854280E+00 1.234181249E+00 8.167303100E-02 1.307573602E+00 1.229526919E+00 7.804668300E-02 8.280678000E-03 4.654330000E-03
2.154000E+11 1.317664253E+00 1.240511804E+00 7.715244900E-02 1.312027811E+00 1.237375803E+00 7.465200800E-02 5.636442000E-03 3.136001000E-03
3.162000E+11 1.319951938E+00 1.247454657E+00 7.249728100E-02 1.316138567E+00 1.245351095E+00 7.078747200E-02 3.813371000E-03 2.103562000E-03
4.642000E+11 1.322719829E+00 1.254629126E+00 6.809070300E-02 1.320147726E+00 1.253219047E+00 6.692867900E-02 2.572103000E-03 1.410079000E-03
6.813000E+11 1.325913700E+00 1.261655743E+00 6.425795700E-02 1.324175688E+00 1.260706494E+00 6.346919400E-02 1.738012000E-03 9.492490000E-04
1.000000E+12 1.329429652E+00 1.268255196E+00 6.117445600E-02 1.328244819E+00 1.267610033E+00 6.063478600E-02 1.184833000E-03 6.451630000E-04
1.468000E+12 1.333141375E+00 1.274289830E+00 5.885154500E-02 1.332319382E+00 1.273844925E+00 5.847445700E-02 8.219930000E-04 4.449050000E-04
2.154000E+12 1.336935411E+00 1.279744013E+00 5.719139800E-02 1.336350044E+00 1.279431442E+00 5.691860200E-02 5.853670000E-04 3.125710000E-04
3.162000E+12 1.340738013E+00 1.284676380E+00 5.606163300E-02 1.340307486E+00 1.284451957E+00 5.585552900E-02 4.305270000E-04 2.244230000E-04
4.642000E+12 1.344524014E+00 1.289178030E+00 5.534598400E-02 1.344196326E+00 1.289012941E+00 5.518338500E-02 3.276880000E-04 1.650890000E-04
6.813000E+12 1.348308921E+00 1.293364837E+00 5.494408400E-02 1.348051380E+00 1.293233979E+00 5.481740100E-02 2.575410000E-04 1.308580000E-04
1.000000E+13 1.352132300E+00 1.297363228E+00 5.476907200E-02 1.351924339E+00 1.297236387E+00 5.468795200E-02 2.079610000E-04 1.268410000E-04
