T file kT1 Voc Jsc FF eta Vmpp Jmpp
280 1_280 41.408 6.125E-1 3.250E+2 8.345E-1 1.661E-1 5.348E-1 3.106E+2 
285 2_285 40.681 6.016E-1 3.250E+2 8.302E-1 1.623E-1 5.235E-1 3.100E+2 
290 3_290 39.98 5.907E-1 3.249E+2 8.258E-1 1.585E-1 5.122E-1 3.094E+2 
295 4_295 39.302 5.797E-1 3.249E+2 8.213E-1 1.547E-1 5.008E-1 3.088E+2 
300 5_300 38.647 5.686E-1 3.248E+2 8.167E-1 1.508E-1 4.895E-1 3.082E+2 
305 6_305 38.014 5.575E-1 3.248E+2 8.120E-1 1.470E-1 4.781E-1 3.075E+2 
310 7_310 37.401 5.464E-1 3.247E+2 8.072E-1 1.432E-1 4.668E-1 3.068E+2 
315 8_315 36.807 5.353E-1 3.247E+2 8.022E-1 1.394E-1 4.555E-1 3.061E+2 
320 9_320 36.232 5.241E-1 3.247E+2 7.970E-1 1.356E-1 4.442E-1 3.053E+2 
325 10_325 35.674 5.129E-1 3.246E+2 7.917E-1 1.318E-1 4.329E-1 3.046E+2 
330 11_330 35.134 5.017E-1 3.246E+2 7.863E-1 1.281E-1 4.216E-1 3.038E+2 
335 12_335 34.61 4.905E-1 3.246E+2 7.806E-1 1.243E-1 4.103E-1 3.029E+2 
340 13_340 34.101 4.792E-1 3.246E+2 7.748E-1 1.205E-1 3.990E-1 3.020E+2 
