N_B T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.500000000E+01 1.344619000E-03 1.211555000E-03 1.103435000E-03 1.003299000E-03 8.973580000E-04 6.928340000E-04 2.194910000E-04 8.456780000E-04 8.882900000E-04 1.069449000E-03 1.452823000E-03
1.600000000E+01 3.437325000E-03 3.365756000E-03 3.390034000E-03 3.457140000E-03 3.869959000E-03 4.394598000E-03 4.670639000E-03 5.392584000E-03 6.255400000E-03 7.163534000E-03 8.147049000E-03
1.700000000E+01 6.021833000E-03 6.553677000E-03 7.455638000E-03 9.004889000E-03 1.091737600E-02 1.325057900E-02 1.585570900E-02 1.787733300E-02 2.114208100E-02 2.431691600E-02 2.787944700E-02
1.549996187E+01 2.458900000E-03 2.297715000E-03 2.151537000E-03 2.120244000E-03 2.158558000E-03 2.243292000E-03 2.405876000E-03 2.575529000E-03 2.630653000E-03 2.336646000E-03 1.227959000E-03
1.649996187E+01 4.289213000E-03 4.433447000E-03 4.660544000E-03 5.222620000E-03 6.021459000E-03 6.983767000E-03 8.303475000E-03 9.883776000E-03 1.160663200E-02 1.367053300E-02 1.592105100E-02
1.674996808E+01 4.976777000E-03 5.288609000E-03 5.749166000E-03 6.621587000E-03 7.806553000E-03 9.461279000E-03 1.167381800E-02 1.367739800E-02 1.558390900E-02 1.832230200E-02 2.124241500E-02
1.624993176E+01 3.788551000E-03 3.814741000E-03 3.976449000E-03 4.206415000E-03 4.710541000E-03 5.408180000E-03 6.234574000E-03 7.337175000E-03 8.644938000E-03 1.002682100E-02 1.162862100E-02
1.574996808E+01 3.047275000E-03 2.827916000E-03 2.769796000E-03 2.796423000E-03 2.919655000E-03 3.107208000E-03 3.440651000E-03 3.869314000E-03 4.325641000E-03 4.785606000E-03 5.126430000E-03
1.524993176E+01 1.859663000E-03 1.681099000E-03 1.577953000E-03 1.520211000E-03 1.503109000E-03 1.491984000E-03 1.452124000E-03 1.363335000E-03 6.779320000E-04 9.074120000E-04 9.611750000E-04
