N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.196134638E+00 1.192450924E+00 1.188576937E+00 1.184872170E+00
1.600000000E+01 1.250621781E+00 1.247209334E+00 1.244213395E+00 1.240543574E+00
1.700000000E+01 1.319207722E+00 1.314019646E+00 1.309602257E+00 1.307242962E+00
1.549996187E+01 1.227085631E+00 1.222898241E+00 1.220724844E+00 1.218615866E+00
1.649996187E+01 1.279588770E+00 1.275169225E+00 1.271952844E+00 1.269141499E+00
1.674996808E+01 1.297890714E+00 1.292127001E+00 1.289112836E+00 1.286325791E+00
1.624993176E+01 1.263905827E+00 1.260351278E+00 1.257257053E+00 1.254295803E+00
1.574996808E+01 1.238564388E+00 1.235372552E+00 1.231507518E+00 1.229575634E+00
1.524993176E+01 1.214872364E+00 1.211077454E+00 1.208310610E+00 1.205900331E+00
