N_Fe T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.000000000E+01 2.954623400E-02 2.953333400E-02 2.962151600E-02 2.983542400E-02 2.932732100E-02 2.781558200E-02 2.475832800E-02 1.785103200E-02 4.869708000E-03 -1.756344600E-02 -5.561112900E-02
1.016672606E+01 3.037835700E-02 3.015427300E-02 3.007737500E-02 3.019147700E-02 2.958597000E-02 2.799159300E-02 2.485953500E-02 1.778810100E-02 4.468321000E-03 -1.863407400E-02 -5.802968100E-02
1.033324570E+01 3.114020200E-02 3.072255500E-02 3.049148700E-02 3.050943400E-02 2.981349100E-02 2.814940100E-02 2.496798500E-02 1.780198600E-02 4.293670000E-03 -1.919139400E-02 -5.940925700E-02
1.049996187E+01 3.178091900E-02 3.120063100E-02 3.083841300E-02 3.077328500E-02 3.000377800E-02 2.829189400E-02 2.509403800E-02 1.790845300E-02 4.360931000E-03 -1.923213400E-02 -5.978164200E-02
1.066670514E+01 3.227594100E-02 3.156949600E-02 3.110475500E-02 3.097448300E-02 3.015414400E-02 2.842258600E-02 2.524802400E-02 1.812545100E-02 4.694964000E-03 -1.872817700E-02 -5.912788900E-02
1.083333839E+01 3.262215500E-02 3.182589700E-02 3.128790000E-02 3.111170900E-02 3.026583300E-02 2.854713100E-02 2.544239100E-02 1.847642500E-02 5.335341000E-03 -1.761819100E-02 -5.736212600E-02
1.100000000E+01 3.280318800E-02 3.197560700E-02 3.139155300E-02 3.118781000E-02 3.034251500E-02 2.867262200E-02 2.569155600E-02 1.898997900E-02 6.335122000E-03 -1.580975500E-02 -5.433366700E-02
1.116672606E+01 3.286336200E-02 3.201043500E-02 3.142161900E-02 3.120693500E-02 3.038810900E-02 2.880570200E-02 2.600906500E-02 1.969479400E-02 7.751012000E-03 -1.319762200E-02 -4.985607700E-02
1.133324570E+01 3.281501200E-02 3.196196000E-02 3.138447900E-02 3.117320400E-02 3.040551700E-02 2.895004200E-02 2.640244900E-02 2.060822900E-02 9.620736000E-03 -9.705195000E-03 -4.377701500E-02
1.149996187E+01 3.267428200E-02 3.184023300E-02 3.128777200E-02 3.109155600E-02 3.039628700E-02 2.910372400E-02 2.686563500E-02 2.171910400E-02 1.192721300E-02 -5.352468000E-03 -3.609757000E-02
1.166670514E+01 3.246175800E-02 3.167249600E-02 3.113266500E-02 3.097023000E-02 3.036186600E-02 2.925762300E-02 2.737242900E-02 2.296990700E-02 1.455975000E-02 -3.330660000E-04 -2.711904800E-02
1.183333839E+01 3.219990600E-02 3.146792100E-02 3.096521300E-02 3.082420400E-02 3.030647000E-02 2.939741300E-02 2.787680500E-02 2.425280000E-02 1.730010100E-02 4.949705000E-03 -1.753002300E-02
1.200000000E+01 3.194360400E-02 3.127486200E-02 3.080014500E-02 3.068569400E-02 3.024096300E-02 2.951071200E-02 2.832671800E-02 2.543510300E-02 1.986752400E-02 9.957076000E-03 -8.303007000E-03
1.216672606E+01 3.174035300E-02 3.111100700E-02 3.068105900E-02 3.057364500E-02 3.018452200E-02 2.959645300E-02 2.868750300E-02 2.641085400E-02 2.202203500E-02 1.420814400E-02 -3.546080000E-04
1.233324570E+01 3.163413200E-02 3.104380600E-02 3.062743600E-02 3.051985500E-02 3.016091300E-02 2.966832300E-02 2.895840100E-02 2.714503500E-02 2.366215400E-02 1.747693400E-02 5.836795000E-03
1.249996187E+01 3.164012000E-02 3.107325700E-02 3.065672500E-02 3.054671700E-02 3.018901600E-02 2.974719600E-02 2.916683800E-02 2.767384000E-02 2.483805600E-02 1.983452800E-02 1.034716400E-02
1.266670514E+01 3.173414400E-02 3.119589500E-02 3.076529700E-02 3.064489600E-02 3.027326500E-02 2.984791700E-02 2.934606100E-02 2.806456600E-02 2.567894400E-02 2.151884100E-02 1.358852300E-02
1.283333839E+01 3.188952000E-02 3.135744800E-02 3.093439800E-02 3.079663900E-02 3.040106800E-02 2.997120600E-02 2.951630100E-02 2.837438000E-02 2.630848600E-02 2.277028100E-02 1.600152800E-02
1.300000000E+01 3.202783400E-02 3.152733600E-02 3.110200200E-02 3.099259600E-02 3.054889000E-02 3.010556300E-02 2.968101800E-02 2.863438300E-02 2.680578400E-02 2.375006500E-02 1.789134000E-02
