fname time Tem kT_1 I01 n1 Rsh1 I02 n2 Rsh2 Rs Iph Voc Isc FF Pm Vm Im rmsre 
0CS0 27620 300 38.647 1.435807209E-05 5.469764389E+00 9.244623966E+03 9.670729322E-05 2.666791841E+00 2.114861495E+03 5.104091945E+01 1.000989053E-03 5.969402790E-01 9.318000000E-04 3.211940161E-01 1.786574110E-04 3.038946629E-01 5.880443541E-04 9.950485701E-02 
0CS0 27620 300 38.647 1.435807339E-05 5.469764496E+00 9.244625182E+03 9.670729319E-05 2.666791846E+00 2.114861496E+03 5.104091667E+01 1.000989051E-03 5.969402790E-01 9.318000000E-04 3.211940161E-01 1.786574110E-04 3.038946629E-01 5.880443541E-04 9.950485701E-02 
0CS0 27620 300 38.647 1.435807183E-05 5.469764367E+00 9.244623837E+03 9.670729323E-05 2.666791837E+00 2.114861494E+03 5.104092051E+01 1.000989053E-03 5.969402790E-01 9.318000000E-04 3.211940161E-01 1.786574110E-04 3.038946629E-01 5.880443541E-04 9.950485701E-02 
0CS0 27620 300 38.647 1.435807135E-05 5.469764327E+00 9.244623541E+03 9.670729316E-05 2.666791830E+00 2.114861492E+03 5.104092210E+01 1.000989054E-03 5.969402790E-01 9.318000000E-04 3.211940161E-01 1.786574110E-04 3.038946629E-01 5.880443541E-04 9.950485701E-02 
0CS0 27620 300 38.647 1.435807216E-05 5.469764395E+00 9.244624069E+03 9.670729324E-05 2.666791840E+00 2.114861495E+03 5.104091949E+01 1.000989053E-03 5.969402790E-01 9.318000000E-04 3.211940161E-01 1.786574110E-04 3.038946629E-01 5.880443541E-04 9.950485701E-02 
0CS0 27620 300 38.647 1.435807332E-05 5.469764490E+00 9.244625275E+03 9.670729322E-05 2.666791842E+00 2.114861495E+03 5.104091745E+01 1.000989051E-03 5.969402790E-01 9.318000000E-04 3.211940161E-01 1.786574110E-04 3.038946629E-01 5.880443541E-04 9.950485701E-02 
0CS0 27620 300 38.647 1.435807190E-05 5.469764373E+00 9.244623880E+03 9.670729330E-05 2.666791842E+00 2.114861496E+03 5.104091996E+01 1.000989053E-03 5.969402790E-01 9.318000000E-04 3.211940161E-01 1.786574110E-04 3.038946629E-01 5.880443541E-04 9.950485701E-02 
0CS0 27620 300 38.647 1.435807243E-05 5.469764418E+00 9.244624283E+03 9.670729337E-05 2.666791847E+00 2.114861498E+03 5.104091848E+01 1.000989053E-03 5.969402790E-01 9.318000000E-04 3.211940161E-01 1.786574110E-04 3.038946629E-01 5.880443541E-04 9.950485701E-02 
0CS0 27620 300 38.647 1.435807203E-05 5.469764385E+00 9.244623941E+03 9.670729327E-05 2.666791840E+00 2.114861496E+03 5.104091979E+01 1.000989053E-03 5.969402790E-01 9.318000000E-04 3.211940161E-01 1.786574110E-04 3.038946629E-01 5.880443541E-04 9.950485701E-02 
0CS0 27620 300 38.647 1.435807226E-05 5.469764403E+00 9.244624169E+03 9.670729336E-05 2.666791844E+00 2.114861497E+03 5.104091919E+01 1.000989053E-03 5.969402790E-01 9.318000000E-04 3.211940161E-01 1.786574110E-04 3.038946629E-01 5.880443541E-04 9.950485701E-02 
