fname time Tem kT_1 I01 n1 Rsh1 I02 n2 Rsh2 Rs Iph Voc Isc FF Pm Vm Im rmsre 
0CS0 27620 300 38.647 1.435807175E-05 5.469764361E+00 9.244623777E+03 9.670729332E-05 2.666791839E+00 2.114861495E+03 5.104092053E+01 1.000989053E-03 5.969402790E-01 9.318000000E-04 3.211940161E-01 1.786574110E-04 3.038946629E-01 5.880443541E-04 9.950485701E-02 
0CS0 27620 300 38.647 1.435807280E-05 5.469764447E+00 9.244624718E+03 9.670729321E-05 2.666791841E+00 2.114861495E+03 5.104091830E+01 1.000989052E-03 5.969402790E-01 9.318000000E-04 3.211940161E-01 1.786574110E-04 3.038946629E-01 5.880443541E-04 9.950485701E-02 
0CS0 27620 300 38.647 1.435807254E-05 5.469764426E+00 9.244624484E+03 9.670729317E-05 2.666791838E+00 2.114861494E+03 5.104091903E+01 1.000989052E-03 5.969402790E-01 9.318000000E-04 3.211940161E-01 1.786574110E-04 3.038946629E-01 5.880443541E-04 9.950485701E-02 
0CS0 27620 300 38.647 1.435807253E-05 5.469764425E+00 9.244624490E+03 9.670729324E-05 2.666791841E+00 2.114861495E+03 5.104091890E+01 1.000989052E-03 5.969402790E-01 9.318000000E-04 3.211940161E-01 1.786574110E-04 3.038946629E-01 5.880443541E-04 9.950485701E-02 
0CS0 27620 300 38.647 1.435807208E-05 5.469764388E+00 9.244624070E+03 9.670729314E-05 2.666791832E+00 2.114861493E+03 5.104092034E+01 1.000989053E-03 5.969402790E-01 9.318000000E-04 3.211940161E-01 1.786574110E-04 3.038946629E-01 5.880443541E-04 9.950485701E-02 
0CS0 27620 300 38.647 1.435807260E-05 5.469764431E+00 9.244624516E+03 9.670729328E-05 2.666791844E+00 2.114861496E+03 5.104091847E+01 1.000989052E-03 5.969402790E-01 9.318000000E-04 3.211940161E-01 1.786574110E-04 3.038946629E-01 5.880443541E-04 9.950485701E-02 
0CS0 27620 300 38.647 1.435807204E-05 5.469764385E+00 9.244623993E+03 9.670729329E-05 2.666791840E+00 2.114861495E+03 5.104091986E+01 1.000989053E-03 5.969402790E-01 9.318000000E-04 3.211940161E-01 1.786574110E-04 3.038946629E-01 5.880443541E-04 9.950485701E-02 
0CS0 27620 300 38.647 1.435807200E-05 5.469764382E+00 9.244623959E+03 9.670729329E-05 2.666791841E+00 2.114861496E+03 5.104091988E+01 1.000989053E-03 5.969402790E-01 9.318000000E-04 3.211940161E-01 1.786574110E-04 3.038946629E-01 5.880443541E-04 9.950485701E-02 
0CS0 27620 300 38.647 1.435807239E-05 5.469764413E+00 9.244624432E+03 9.670729325E-05 2.666791840E+00 2.114861495E+03 5.104091934E+01 1.000989052E-03 5.969402790E-01 9.318000000E-04 3.211940161E-01 1.786574110E-04 3.038946629E-01 5.880443541E-04 9.950485701E-02 
0CS0 27620 300 38.647 1.435807157E-05 5.469764346E+00 9.244623611E+03 9.670729329E-05 2.666791836E+00 2.114861494E+03 5.104092110E+01 1.000989054E-03 5.969402790E-01 9.318000000E-04 3.211940161E-01 1.786574110E-04 3.038946629E-01 5.880443541E-04 9.950485701E-02
