fname time Tem kT_1 I01 n1 Rsh1 I02 n2 Rsh2 Rs Iph Voc Isc FF Pm Vm Im rmsre 
00L1 29488 294.02 39.433 3.933728012E-07 2.952752882E+00 5.689552673E+03 5.650629461E-05 2.578918482E+00 2.851033808E+03 3.377676914E+02 3.339563350E-04 4.806259119E-01 2.911142969E-04 3.300103123E-01 4.617407743E-05 2.551341789E-01 1.809763184E-04 6.940515968E-03 
00L2 30136 295.03 39.298 1.483179562E-05 6.115905671E+00 3.000000000E+06 5.652567065E-05 2.803539111E+00 2.818103110E+03 3.619426863E+01 3.111848495E-04 4.792975140E-01 2.915720648E-04 3.329431487E-01 4.652872706E-05 2.552811514E-01 1.822560645E-04 1.085486837E-02 
00L3 30778 296 39.17 1.370432039E-05 5.997112516E+00 3.880846618E+04 5.861420364E-05 2.922043788E+00 2.685511840E+03 3.111315885E-11 3.119552358E-04 4.777823483E-01 2.918949166E-04 3.340817225E-01 4.659178493E-05 2.572581156E-01 1.811088087E-04 8.246743527E-03 
00L4 31416 297.02 39.035 6.989707189E-06 5.038480762E+00 1.276102280E+04 6.574392554E-05 3.377563536E+00 2.636161588E+03 6.296886918E-11 3.152399391E-04 4.764388199E-01 2.921357960E-04 3.374386924E-01 4.696634836E-05 2.573706764E-01 1.824805159E-04 7.387359733E-03 
00L5 32050 298.02 38.904 1.702514050E-05 6.320355969E+00 6.217492084E+04 6.388905129E-05 2.740598178E+00 2.357075918E+03 5.096886881E-07 3.105750282E-04 4.754013008E-01 2.920891140E-04 3.391478881E-01 4.709392134E-05 2.596230624E-01 1.813903200E-04 1.048929483E-02 
00L6 32690 299.03 38.773 1.135484954E-05 5.514550126E+00 3.000000000E+06 6.829169676E-05 2.039991322E+00 2.024982450E+03 2.060224193E+02 3.110348566E-04 4.740974869E-01 2.916583701E-04 3.401588346E-01 4.703529287E-05 2.617784616E-01 1.796735234E-04 1.420118638E-02 
00L7 33328 300.05 38.641 4.711840119E-08 2.160714870E+00 4.237362054E+03 8.569495252E-05 2.201952915E+00 1.881535083E+03 5.000000000E+02 3.477587909E-04 4.728097466E-01 2.923458971E-04 3.422321774E-01 4.730469690E-05 2.593565079E-01 1.823907475E-04 1.416815193E-02 
00L8 33956 301.03 38.515 1.041970483E-05 5.468328630E+00 3.021375329E+04 2.783248647E-04 7.969273386E+00 1.168435616E+04 2.392838373E-01 3.157468400E-04 4.716554173E-01 2.926546898E-04 3.456162271E-01 4.770615775E-05 2.589764966E-01 1.842099781E-04 2.162767322E-02 
00L9 34592 302.05 38.385 2.160335759E-05 6.647440605E+00 4.928312587E+05 7.906921199E-05 2.567675016E+00 1.890423109E+03 5.620743343E-09 3.071938239E-04 4.700677692E-01 2.914854057E-04 3.473086903E-01 4.758750547E-05 2.616841771E-01 1.818523188E-04 1.023671237E-02 
0L10 35224 303.03 38.261 1.854446027E-05 6.274398652E+00 3.000000000E+06 8.666947739E-05 2.484350952E+00 1.792946437E+03 6.163469141E+01 3.078725229E-04 4.688211880E-01 2.912685192E-04 3.488249642E-01 4.763304412E-05 2.627874667E-01 1.812642594E-04 1.264852232E-02 
0L11 35844 304.02 38.136 2.048286147E-08 1.931979486E+00 3.454459972E+03 1.368427449E-04 5.173005712E+00 2.149800455E+03 2.254990364E+02 3.500000000E-04 4.673035366E-01 2.913222017E-04 3.486479018E-01 4.746349421E-05 2.604603116E-01 1.822307112E-04 1.513175830E-02 
0L12 36486 305.05 38.008 1.482770876E-05 5.768201294E+00 3.000000000E+06 9.930215835E-05 1.884574785E+00 1.493140256E+03 1.937660947E+02 3.086118397E-04 4.656670113E-01 2.909890685E-04 3.504745554E-01 4.749070761E-05 2.590494452E-01 1.833256509E-04 9.829009191E-03 
0L13 37122 306.03 37.886 8.767338483E-06 5.076147737E+00 1.309341123E+04 1.121482363E-04 3.660423302E+00 1.781438611E+03 4.092687401E-02 3.103097597E-04 4.648870682E-01 2.912137860E-04 3.522513038E-01 4.768831805E-05 2.613756472E-01 1.824512509E-04 8.326062581E-03 
0L14 37752 307.02 37.764 1.829541466E-07 2.448204721E+00 4.899918933E+03 1.304780302E-04 1.718908906E+00 1.240204474E+03 5.000000000E+02 3.345048726E-04 4.635902920E-01 2.913067926E-04 3.530565765E-01 4.767923186E-05 2.629197824E-01 1.813462013E-04 7.922616580E-03 
0L15 38360 308.04 37.639 2.034651927E-06 3.665796433E+00 2.990550136E+04 1.246948033E-04 6.538499459E+00 9.104055850E+02 2.788919736E+02 3.148108918E-04 4.616944958E-01 2.911999651E-04 3.554330672E-01 4.778634839E-05 2.628993624E-01 1.817620544E-04 3.139311054E-02 
0L16 38996 309.03 37.518 2.006838850E-05 6.212260551E+00 3.000000000E+06 1.261329711E-04 2.554225077E+00 1.404425975E+03 6.092253069E+01 3.056556916E-04 4.602785732E-01 2.910977124E-04 3.564264660E-01 4.775617063E-05 2.607202314E-01 1.831711047E-04 9.349529248E-03 
0L17 39626 310 37.401 1.262586527E-05 5.443332059E+00 1.961475777E+04 1.439009235E-04 3.653965120E+00 1.542730554E+03 1.426029263E-12 3.072121823E-04 4.593874466E-01 2.910826372E-04 3.579594116E-01 4.786622851E-05 2.608288074E-01 1.835135886E-04 6.003244736E-03 
0L18 40320 311.01 37.279 1.641051621E-05 5.732558467E+00 3.000000000E+06 1.418003972E-04 1.958080475E+00 1.176472476E+03 1.675901789E+02 3.064856456E-04 4.568421524E-01 2.910672733E-04 3.586118044E-01 4.768525700E-05 2.601404526E-01 1.833062485E-04 1.259865748E-02 
0L19 40944 312.02 37.159 1.045091368E-06 3.094265245E+00 6.268030394E+03 1.667778838E-04 1.558380628E+00 9.824284321E+02 4.116560487E+02 3.228960293E-04 4.555137592E-01 2.916054731E-04 3.588284496E-01 4.766329249E-05 2.609504599E-01 1.826538297E-04 7.935107445E-03 
0L20 41564 313.01 37.041 1.022532824E-06 3.069525545E+00 6.033291496E+03 4.551987267E-04 1.115294047E+01 3.923589767E+03 4.964498795E+01 3.215261340E-04 4.538437393E-01 2.916118406E-04 3.640342486E-01 4.817855243E-05 2.608156660E-01 1.847204287E-04 1.063660775E-02 
0L21 42168 314.03 36.921 2.433010779E-05 6.419348380E+00 3.000000000E+06 1.599641980E-04 2.832363313E+00 1.203835886E+03 5.067199313E-11 3.037096807E-04 4.517287430E-01 2.917834437E-04 3.625221176E-01 4.778294125E-05 2.586161974E-01 1.847609432E-04 1.070210442E-02 
0L22 42784 315.05 36.801 2.215810973E-05 6.167152662E+00 3.000000000E+06 1.808335470E-04 3.273526899E+00 1.214750175E+03 2.582047184E+00 3.043106533E-04 4.497904503E-01 2.919693342E-04 3.624567647E-01 4.759964126E-05 2.586608395E-01 1.840325635E-04 3.674189179E-03 
0L23 43400 316.01 36.689 1.474326498E-05 5.360299542E+00 3.000000000E+06 1.901120676E-04 1.423513037E+00 8.570489240E+02 2.369063081E+02 3.066783864E-04 4.489128319E-01 2.917497448E-04 3.645721563E-01 4.774808974E-05 2.597558691E-01 1.838191430E-04 1.012234261E-02 
0L24 44014 317.02 36.572 2.109118081E-06 3.346045912E+00 1.006412915E+04 5.852331276E-04 4.912494000E+00 1.109258180E+04 3.360051696E+02 3.161581767E-04 4.472919708E-01 2.921255766E-04 3.645977344E-01 4.764031787E-05 2.585874601E-01 1.842334376E-04 1.878584929E-02 
0L25 44608 318.05 36.454 1.609525832E-05 5.434753857E+00 3.000000000E+06 2.105159403E-04 1.775034392E+00 8.423029796E+02 1.891097439E+02 3.058272542E-04 4.468036713E-01 2.918621090E-04 3.661435917E-01 4.774697770E-05 2.574278307E-01 1.854869660E-04 7.351125844E-03 
0L26 45224 319.03 36.342 1.116451114E-05 4.842138200E+00 2.637597625E+05 2.433993420E-04 1.000000451E+00 6.777532965E+02 3.201357187E+02 3.072185114E-04 4.444782780E-01 2.917695002E-04 3.656081073E-01 4.741396234E-05 2.574046058E-01 1.842135986E-04 1.295545415E-02 
0L27 45842 320.05 36.226 1.135254971E-05 4.825151294E+00 3.000000000E+06 2.636060956E-04 1.000000000E+00 6.540365135E+02 3.221517830E+02 3.073016175E-04 4.435240639E-01 2.920570945E-04 3.655302045E-01 4.734871724E-05 2.557077568E-01 1.851661276E-04 1.535167538E-02 
0L28 46448 321.01 36.118 1.309321704E-05 4.999394885E+00 2.118467529E+06 6.246806389E-04 8.134202524E+00 3.175260089E+03 6.978383362E+01 3.061818174E-04 4.408308136E-01 2.921604070E-04 3.697175074E-01 4.761714150E-05 2.562686064E-01 1.857968083E-04 9.268219492E-03 
0L29 47130 322.01 36.006 1.352849690E-05 5.009730955E+00 6.160491997E+05 2.627618295E-04 1.028936969E+00 6.035726451E+02 2.715281073E+02 3.064425332E-04 4.389895645E-01 2.922561014E-04 3.687057483E-01 4.730398101E-05 2.575407682E-01 1.836682943E-04 7.117011819E-03 
0L30 47810 323.02 35.893 9.642844637E-06 4.509697266E+00 3.000000000E+06 3.330458175E-04 1.000000000E+00 5.834194121E+02 3.395437824E+02 3.067188670E-04 4.373321842E-01 2.921343158E-04 3.692125677E-01 4.717050107E-05 2.554017953E-01 1.847002389E-04 1.734610036E-02 
0L31 48584 324.03 35.781 3.408000505E-06 3.531265617E+00 1.304726352E+04 7.772995319E-04 5.178274867E+00 3.505374864E+03 3.008636825E+02 3.122773667E-04 4.358429943E-01 2.924752959E-04 3.694421869E-01 4.709401795E-05 2.554576422E-01 1.843524052E-04 1.336458363E-02 
