fname time Tem kT_1 I01 n1 Rsh1 I02 n2 Rsh2 Rs Iph Voc Isc FF Pm Vm Im rmsre 
00L1 28498 296.92 39.048 7.166393034E-06 4.903177708E+00 1.282867828E+06 2.480633258E-04 4.878528850E+00 2.214810438E+05 1.998577242E+02 2.984961494E-04 4.835911583E-01 2.816892794E-04 3.427129490E-01 4.668519582E-05 2.646929217E-01 1.763774334E-04 5.965935027E-02 
00L2 29294 298.02 38.904 5.856385230E-06 4.926004744E+00 5.355428189E+04 2.724793247E-04 8.307113731E+00 3.458092202E+06 1.000000000E+02 3.039604561E-04 4.823141418E-01 2.822065584E-04 3.446206563E-01 4.690708052E-05 2.627241743E-01 1.785433745E-04 2.118230269E-02 
00L3 29936 299.03 38.773 3.273094963E-06 4.275260461E+00 1.207509121E+04 1.274037109E-04 4.018948367E+00 3.377141378E+03 1.807769589E+02 3.067033344E-04 4.811580208E-01 2.820705980E-04 3.464966357E-01 4.702670727E-05 2.647497796E-01 1.776258797E-04 1.192638442E-02 
00L4 30508 300.03 38.643 3.574926749E-07 2.866641791E+00 5.681114349E+03 7.537891522E-05 2.500000000E+00 2.006839673E+03 3.402791386E+02 3.197253759E-04 4.786110516E-01 2.824865943E-04 3.483698660E-01 4.710002601E-05 2.639318686E-01 1.784533831E-04 6.858737451E-03 
00L5 31072 301.04 38.514 5.392540094E-06 4.784562303E+00 1.601854824E+05 9.766138518E-04 1.115112881E+01 9.999999623E+08 4.388476460E+02 3.046478098E-04 4.772377743E-01 2.823765340E-04 3.511827240E-01 4.732564679E-05 2.636729447E-01 1.794838886E-04 5.847031167E-02 
00L6 31630 302.04 38.386 1.032032503E-05 5.501689957E+00 2.544277927E+04 8.268321268E-05 2.500000416E+00 1.932148598E+03 1.000004081E+02 2.998121219E-04 4.759040802E-01 2.823353356E-04 3.524767733E-01 4.736037887E-05 2.645528388E-01 1.790198344E-04 7.755665296E-03 
00L7 32174 303.03 38.261 5.236890781E-08 2.233977916E+00 5.338207063E+03 3.583129375E-04 9.702713994E+00 2.336996833E+04 3.307660527E+02 3.307443224E-04 4.753591858E-01 2.829619293E-04 3.535959125E-01 4.756167429E-05 2.660622211E-01 1.787511300E-04 1.849808197E-02 
00L8 32706 304.02 38.136 2.515563750E-06 3.936881174E+00 7.969352505E+03 9.388212509E-05 3.313970473E+00 1.868254260E+03 1.000000000E+02 3.069139120E-04 4.732603790E-01 2.832062721E-04 3.565071850E-01 4.778276771E-05 2.660375374E-01 1.796195319E-04 6.612345946E-03 
00L9 33234 305.03 38.01 1.196993537E-05 5.646563258E+00 2.538370351E+04 1.036063968E-04 2.500000000E+00 1.702440325E+03 1.000000000E+02 2.997569844E-04 4.722063171E-01 2.829875383E-04 3.577649966E-01 4.780760101E-05 2.650404376E-01 1.803803951E-04 1.915033940E-02 
0L10 33860 306.04 37.885 4.155109162E-06 4.315286563E+00 1.011694805E+04 1.037279874E-04 3.077415045E+00 1.670398774E+03 1.000000000E+02 3.030749172E-04 4.704587936E-01 2.829635520E-04 3.597987939E-01 4.789738378E-05 2.667096499E-01 1.795843435E-04 4.005181866E-03 
0L11 34500 307.03 37.762 7.893095276E-08 2.293561795E+00 5.025728026E+03 4.401587240E-04 9.247795006E+00 4.150668248E+04 2.778107976E+02 3.247853306E-04 4.689932281E-01 2.831024270E-04 3.609830302E-01 4.792884359E-05 2.668243647E-01 1.796210058E-04 2.768842057E-02 
