fname time Tem kT_1 n0 Eefo E_B E_T Nb dev 
B566FE100_T 1317817142 0 555 6.723172123E-04 6.484240387E+00 2.786171730E-01 7.169003316E-02 5.623000000E+16 9.560533596E-04 
B566FE101_T 1317817142 0 555 6.736996660E-04 2.679766634E+00 8.313865577E-01 7.334320400E-02 5.623000000E+16 1.002237832E-03 
B566FE102_T 1317817142 0 555 6.899344365E-04 6.613164791E+00 1.456308047E-01 6.341261292E-02 5.623000000E+16 1.041499001E-03 
B566FE103_T 1317817142 0 555 7.530442602E-04 3.000000000E-01 4.519549522E-01 2.720952478E-02 5.623000000E+16 1.277843470E-03 
B566FE140_T 1317817142 0 555 6.723829905E-04 3.735690858E-01 5.173299335E-01 3.437808892E-02 5.623000000E+16 9.590239672E-04 
B566FE141_T 1317817142 0 555 6.745428371E-04 3.741018868E+00 3.635909037E-01 5.398705763E-02 5.623000000E+16 1.019037993E-03 
B566FE142_T 1317817142 0 555 6.940029566E-04 3.922486580E+00 1.815293994E-01 9.400724181E-02 5.623000000E+16 1.175391645E-03 
B566FE210_T 1317817142 0 555 6.724789124E-04 6.464120265E+00 3.964956560E-01 7.409588649E-02 5.623000000E+16 9.633998079E-04 
B566FE211_T 1317817142 0 555 6.757308698E-04 4.483244756E+00 2.046711908E-01 2.817736554E-02 5.623000000E+16 1.049290911E-03 
B566FE212_T 1317817142 0 555 7.042381642E-04 2.420136193E+00 7.908733044E-01 9.227438849E-02 5.623000000E+16 8.109661638E-04 
B566FE310_T 1317817142 0 555 6.726183516E-04 6.356995123E+00 4.706004819E-01 5.605054352E-02 5.623000000E+16 9.698069819E-04 
B566FE311_T 1317817142 0 555 6.777176054E-04 6.694162052E+00 4.451210343E-01 8.390808367E-02 5.623000000E+16 1.040922483E-03 
B566FE312_T 1317817142 0 555 7.137494546E-04 2.181729649E+00 7.295859237E-02 7.322237482E-02 5.623000000E+16 1.145256762E-03 
B566FE460_T 1317817142 0 555 6.728201471E-04 1.321962627E+00 5.453486343E-01 8.979907301E-02 5.623000000E+16 9.791082551E-04 
B566FE461_T 1317817142 0 555 6.804715491E-04 4.684553365E+00 4.430597843E-01 7.994662827E-02 5.623000000E+16 9.828406981E-04 
B566FE462_T 1317817142 0 555 7.255319176E-04 3.084901792E+00 4.797953714E-01 3.227918731E-02 5.623000000E+16 8.425633824E-04 
B566FE680_T 1317817142 0 555 6.731108502E-04 7.797902776E+00 3.817158399E-01 4.681420249E-02 5.623000000E+16 9.925810481E-04 
B566FE681_T 1317817142 0 555 6.850612738E-04 4.478676635E-01 6.690214662E-01 4.250785419E-02 5.623000000E+16 9.376173882E-04 
B566FE682_T 1317817142 0 555 7.350013312E-04 5.783834858E+00 5.650203250E-01 3.074735501E-02 5.623000000E+16 1.243327583E-03 
