N_Fe N_B T d Jsc_FeB Eta_FeB Voc_FeB FF_FeB
1.000000E+10 5.623E+16 320 3.800E-4 3.662049E+1 1.677800E+1 5.655060E-1 8.101770E+1
1.468000E+10 5.623E+16 320 3.800E-4 3.645274E+1 1.668610E+1 5.650690E-1 8.100740E+1
2.154000E+10 5.623E+16 320 3.800E-4 3.622825E+1 1.656330E+1 5.644810E-1 8.099350E+1
3.162000E+10 5.623E+16 320 3.800E-4 3.593737E+1 1.640430E+1 5.637150E-1 8.097520E+1
4.642000E+10 5.623E+16 320 3.800E-4 3.557467E+1 1.620630E+1 5.627490E-1 8.095210E+1
6.813000E+10 5.623E+16 320 3.800E-4 3.514109E+1 1.596960E+1 5.615700E-1 8.092340E+1
1.000000E+11 5.623E+16 320 3.800E-4 3.464383E+1 1.569780E+1 5.601770E-1 8.088880E+1
1.468000E+11 5.623E+16 320 3.800E-4 3.409335E+1 1.539620E+1 5.585000E-1 8.085770E+1
2.154000E+11 5.623E+16 320 3.800E-4 3.349891E+1 1.506900E+1 5.566030E-1 8.081820E+1
3.162000E+11 5.623E+16 320 3.800E-4 3.286567E+1 1.471240E+1 5.544880E-1 8.073250E+1
4.642000E+11 5.623E+16 320 3.800E-4 3.219473E+1 1.434000E+1 5.521380E-1 8.067120E+1
6.813000E+11 5.623E+16 320 3.800E-4 3.148502E+1 1.394570E+1 5.495040E-1 8.060560E+1
1.000000E+12 5.623E+16 320 3.800E-4 3.073501E+1 1.352830E+1 5.464980E-1 8.054200E+1
1.468000E+12 5.623E+16 320 3.800E-4 2.994358E+1 1.308180E+1 5.432430E-1 8.042120E+1
2.154000E+12 5.623E+16 320 3.800E-4 2.911027E+1 1.261980E+1 5.397060E-1 8.032450E+1
3.162000E+12 5.623E+16 320 3.800E-4 2.823541E+1 1.213710E+1 5.357470E-1 8.023440E+1
4.642000E+12 5.623E+16 320 3.800E-4 2.732017E+1 1.162930E+1 5.315690E-1 8.007760E+1
6.813000E+12 5.623E+16 320 3.800E-4 2.636671E+1 1.111130E+1 5.270140E-1 7.996240E+1
1.000000E+13 5.623E+16 320 3.800E-4 2.537821E+1 1.057370E+1 5.222110E-1 7.978500E+1
1.468000E+13 5.623E+16 320 3.800E-4 2.435888E+1 1.003140E+1 5.170840E-1 7.964250E+1
2.154000E+13 5.623E+16 320 3.800E-4 2.331394E+1 9.477300E+0 5.117340E-1 7.943770E+1
3.162000E+13 5.623E+16 320 3.800E-4 2.224952E+1 8.925700E+0 5.060680E-1 7.927060E+1
4.642000E+13 5.623E+16 320 3.800E-4 2.117259E+1 8.370700E+0 5.002640E-1 7.902950E+1
6.813000E+13 5.623E+16 320 3.800E-4 2.009076E+1 7.826300E+0 4.941190E-1 7.883660E+1
1.000000E+14 5.623E+16 320 3.800E-4 1.901212E+1 7.287300E+0 4.878420E-1 7.856950E+1
