fname V Rs Rt Qt nt Rr Qr nr rmsre
d64am1V2n1 -1.2 1.8336279E+1 1.4892117E+3 9.8449860E-10 1.0000000E+0 1.9402048E+5 1.5640811E-10 1.0000000E+0 5.6935568E-2
d64am1Vn1 -1 1.7119702E+1 1.1370056E+3 1.0217503E-9 1.0000000E+0 1.5795115E+5 2.2435102E-10 9.8884665E-1 1.6574418E-2
d64am0V8n1 -0.8 1.6786648E+1 9.7913864E+2 1.0743131E-9 1.0000000E+0 1.5819806E+5 2.5885864E-10 9.8860475E-1 1.7157141E-2
d64am0V6n1 -0.6 1.1170359E+1 5.9546798E+2 1.0634636E-9 1.0000000E+0 1.6488096E+5 3.8341619E-10 9.8897004E-1 1.5875098E-2
d64am0V6n1 -0.6 1.1170359E+1 5.9546798E+2 1.0634636E-9 1.0000000E+0 1.6488096E+5 3.8341619E-10 9.8897004E-1 1.5875098E-2
d64am0V4n1 -0.4 1.1945504E+1 5.4778958E+2 1.1430628E-9 1.0000000E+0 1.5720283E+5 4.3968830E-10 9.8721223E-1 1.6422162E-2
d64am0V2n1 -0.2 1.1090843E+1 4.4376543E+2 1.2085096E-9 1.0000000E+0 2.0205025E+5 5.5085992E-10 9.8588323E-1 1.7306356E-2
d64a0Vn1 0 9.6506168E+0 3.7808564E+2 1.5231549E-9 9.9034555E-1 4.0536695E+5 5.4327721E-10 1.0000000E+0 3.5582959E-2
d64a0V2n1 0.2 1.0369696E+1 3.1880125E+2 1.8617486E-9 9.8712907E-1 7.5488651E+4 7.1608356E-10 1.0000000E+0 1.4229364E-2
d64a0V4n1 0.4 3.0820015E+0 1.9221678E+2 1.0772931E-8 8.8424073E-1 3.0260523E+3 1.3612202E-9 1.0000000E+0 1.1280016E-2
