fname time Tem kT_1 n0 Eefo E_B E_T Nb dev 
B316FE100_T 1317817142 0 555 6.415531205E-04 7.888739053E+00 1.928018350E-01 7.428048837E-02 3.162000000E+16 6.633124136E-04 
B316FE101_T 1317817142 0 555 6.442007810E-04 5.517504673E+00 9.064484123E-01 7.282395562E-02 3.162000000E+16 6.443311553E-04 
B316FE102_T 1317817142 0 555 6.593614390E-04 6.079396672E+00 2.754245620E-01 9.962128757E-02 3.162000000E+16 9.374679273E-04 
B316FE103_T 1317817142 0 555 7.139942702E-04 4.468343968E+00 4.944546231E-01 5.754524896E-02 3.162000000E+16 1.091926949E-03 
B316FE140_T 1317817142 0 555 6.416944761E-04 1.933928928E+00 2.234043905E-01 1.176761006E-02 3.162000000E+16 6.605839975E-04 
B316FE141_T 1317817142 0 555 6.455651798E-04 3.973760897E-01 2.671351915E-01 8.342647147E-02 3.162000000E+16 6.304206558E-04 
B316FE142_T 1317817142 0 555 6.670641033E-04 2.571266180E+00 2.035724691E-01 5.687460275E-02 3.162000000E+16 7.764705816E-04 
B316FE210_T 1317817142 0 555 6.419018487E-04 1.801874792E+00 4.980245558E-01 9.301759103E-02 3.162000000E+16 6.569653480E-04 
B316FE211_T 1317817142 0 555 6.474915872E-04 5.187653535E+00 5.082143108E-01 7.300075407E-02 3.162000000E+16 6.311203871E-04 
B316FE212_T 1317817142 0 555 6.737915144E-04 1.468769159E+00 5.514936841E-01 7.862886150E-02 3.162000000E+16 9.401166653E-04 
B316FE310_T 1317817142 0 555 6.422039800E-04 2.243442656E+00 5.753113588E-02 9.257106472E-03 3.162000000E+16 6.523564332E-04 
B316FE311_T 1317817142 0 555 6.494777621E-04 4.834702942E+00 5.328707660E-01 8.503116706E-02 3.162000000E+16 6.579381125E-04 
B316FE312_T 1317817142 0 555 6.796384152E-04 5.465907649E+00 2.603474464E-01 6.922871677E-02 3.162000000E+16 8.499055830E-04 
B316FE460_T 1317817142 0 555 6.426436910E-04 3.742673845E+00 4.977016620E-01 6.174139897E-02 3.162000000E+16 6.471754845E-04 
B316FE461_T 1317817142 0 555 6.522497160E-04 5.732705134E+00 4.106507442E-01 6.405948837E-02 3.162000000E+16 7.469825800E-04 
B316FE462_T 1317817142 0 555 6.914980173E-04 4.515346213E+00 2.736742869E-01 3.550099607E-02 3.162000000E+16 8.593878658E-04 
B316FE680_T 1317817142 0 555 6.432812007E-04 5.009429149E-01 4.503059350E-02 4.349576982E-02 3.162000000E+16 6.430162057E-04 
B316FE681_T 1317817142 0 555 6.558341710E-04 7.308636007E+00 1.865537450E-01 4.896817277E-02 3.162000000E+16 8.469298046E-04 
B316FE682_T 1317817142 0 555 7.044398855E-04 1.435441418E+00 1.308173382E-01 7.852706399E-02 3.162000000E+16 9.343996016E-04 
