N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.206263364E+00 1.207016023E+00 1.206872146E+00 1.205239279E+00
1.600000000E+01 1.271823486E+00 1.271942641E+00 1.272043366E+00 1.270994107E+00
1.700000000E+01 1.351613045E+00 1.351171049E+00 1.350268524E+00 1.350911497E+00
1.549996187E+01 1.243368743E+00 1.242362839E+00 1.243033675E+00 1.242870427E+00
1.649996187E+01 1.306608120E+00 1.306338737E+00 1.306768379E+00 1.306817984E+00
1.674996808E+01 1.328089301E+00 1.326611178E+00 1.327408384E+00 1.327726410E+00
1.624993176E+01 1.287737643E+00 1.288101639E+00 1.288217767E+00 1.288360048E+00
1.574996808E+01 1.257263911E+00 1.257260156E+00 1.256440525E+00 1.256771807E+00
1.524993176E+01 1.228178707E+00 1.227970340E+00 1.228110192E+00 1.227908563E+00
