X Y Yfit
7.7000000E+1 7.1200000E+22 7.0951198E+22
8.5000000E+1 7.2200000E+22 7.2395930E+22
9.0000000E+1 7.3000000E+22 7.3486033E+22
9.5000000E+1 7.4100000E+22 7.4707896E+22
1.0000000E+2 7.5200000E+22 7.6052814E+22
1.1000000E+2 7.9400000E+22 7.9055599E+22
1.2000000E+2 8.2700000E+22 8.2393283E+22
1.3000000E+2 8.7200000E+22 8.6002469E+22
1.4000000E+2 9.0500000E+22 8.9837474E+22
1.5000000E+2 9.4600000E+22 9.3861331E+22
1.6000000E+2 9.8200000E+22 9.8114072E+22
1.7000000E+2 1.0200000E+23 1.0259733E+23
1.8000000E+2 1.0700000E+23 1.0734033E+23
1.9000000E+2 1.1100000E+23 1.1241939E+23
2.0000000E+2 1.1600000E+23 1.1782895E+23
2.1000000E+2 1.2270000E+23 1.2363172E+23
2.2000000E+2 1.3000000E+23 1.2984286E+23
2.3000000E+2 1.3900000E+23 1.3647447E+23
2.4000000E+2 1.4500000E+23 1.4346305E+23
2.5000000E+2 1.5320000E+23 1.5084587E+23
2.6000000E+2 1.5830000E+23 1.5852614E+23
2.7000000E+2 1.6400000E+23 1.6659762E+23
