fname time Tem kT_1 A Rs Io Rsh Iph Voc Isc Pm FF dev 
01FR 1fr.dat 291.3 39.8 2.318E+001 2.839E+002 3.007E-010 1.248E+007 5.066E-009 5.097E-002 4.765E-009 6.325E-011 2.604E-001 2.416E-002 
03FR 3fr.dat 295.5 39.24 2.273E+001 2.620E+002 5.118E-010 7.266E+006 9.447E-009 5.551E-002 8.935E-009 1.296E-010 2.613E-001 3.638E-002 
05FR 5fr.dat 300.1 38.63 2.287E+001 2.169E+002 6.668E-010 6.751E+006 9.572E-009 5.037E-002 8.904E-009 1.173E-010 2.615E-001 1.696E-002 
07FR 7fr.dat 304 38.14 2.321E+001 2.752E+002 7.859E-010 5.287E+006 1.134E-008 4.747E-002 1.056E-008 1.304E-010 2.602E-001 1.360E-002 
09FR 9fr.dat 309.2 37.5 2.370E+001 2.799E+002 1.034E-009 3.653E+006 1.669E-008 4.893E-002 1.565E-008 1.994E-010 2.603E-001 9.500E-003 
11FR 11fr.dat 316.4 36.64 2.269E+001 2.011E+002 2.303E-009 8.775E+006 6.567E-009 2.333E-002 4.264E-009 2.612E-011 2.625E-001 1.094E-002 
13FR 13fr.dat 320.5 36.18 2.296E+001 1.900E+002 2.700E-009 4.816E+006 7.244E-009 1.608E-002 4.544E-009 1.871E-011 2.561E-001 7.740E-003 
15FR 15fr.dat 327.8 35.37 2.342E+001 2.041E+002 3.790E-009 4.008E+006 6.805E-009 8.665E-003 3.014E-009 6.623E-012 2.536E-001 4.219E-003 
17FR 17fr.dat 332.7 34.85 2.298E+001 2.081E+002 6.053E-009 4.494E+006 1.025E-008 1.102E-002 4.194E-009 1.186E-011 2.566E-001 4.181E-003 
19FR 19fr.dat 337.9 34.31 2.336E+001 2.624E+002 7.239E-009 2.607E+006 1.094E-008 6.528E-003 3.696E-009 6.106E-012 2.531E-001 2.650E-003 
21FR 21fr.dat 342.9 33.81 2.352E+001 2.553E+002 1.063E-008 3.069E+006 1.180E-008 2.015E-003 1.172E-009 5.934E-013 2.513E-001 4.377E-003 
