fname V Rs Rt Qt nt Rr Qr nr rmsre
d53am1V2n1 -1.2 1.3745428E+1 9.3041945E+3 5.8762926E-10 1.0000000E+0 4.0987211E+5 1.7222423E-10 9.7213679E-1 3.8894538E-2
d53am1Vn1 -1 1.3717186E+1 8.3868153E+3 6.1374609E-10 1.0000000E+0 4.4557767E+5 1.9831450E-10 9.6909509E-1 4.0544266E-2
d53am0V8n1 -0.8 1.4063503E+1 7.6791348E+3 6.4722278E-10 1.0000000E+0 4.7610298E+5 2.1144679E-10 9.7405095E-1 5.1404856E-2
d53am0V6n1 -0.6 1.3898857E+1 6.7053579E+3 6.8417512E-10 1.0000000E+0 5.2066709E+5 2.6036313E-10 9.6843436E-1 4.9526335E-2
d53am0V4n1 -0.4 1.4235192E+1 5.9799522E+3 7.3276025E-10 1.0000000E+0 5.4917982E+5 2.8974918E-10 9.7272617E-1 4.6734467E-2
d53am0V2n1 -0.2 1.4203773E+1 5.0601346E+3 7.9584668E-10 1.0000000E+0 5.8554681E+5 3.4452599E-10 9.7443747E-1 6.3727713E-2
d53a0Vn1 0 1.4106567E+1 4.0636066E+3 8.8044346E-10 1.0000000E+0 4.2321088E+5 4.6369511E-10 9.7057788E-1 4.3614990E-2
d53a0V2n1 0.2 1.2482849E+1 2.7311552E+3 1.0067561E-9 1.0000000E+0 4.8203107E+4 8.8266094E-10 9.5435982E-1 2.4127008E-2
d53a0V4n1 0.4 1.2025888E+1 1.1507734E+3 1.2942803E-9 1.0000000E+0 2.1725955E+3 9.5172153E-9 8.6495708E-1 1.7323914E-2

