name Vb
d41IS 1.04069E+0
d63aIS 6.65059E-1
d63bIS 6.76107E-1
d83aIS 7.48852E-1
d83bIS 7.47108E-1
d62aIS 6.53570E-1
d62bIS 6.73945E-1
d42IS 8.70372E-1
d61aIS 6.88773E-1
d61cIS 7.01707E-1
d64aIS 6.92034E-1
d64bIS 6.78306E-1
d84aIS 5.87063E-1
d84bIS 7.34382E-1
d33aIS 8.47556E-1
d33bIS 8.81777E-1
d35IS 7.86112E-1
d43sIS 8.51621E-1
d43bIS 7.21933E-1
d51aIS 7.22287E-1
d51bIS 9.33504E-1
d51cIS 7.05010E-1
d51dIS 6.71492E-1
d73aIS 6.74409E-1
d73bIS 6.56027E-1
d73cIS 7.62471E-1
d82aIS 6.99587E-1
d82bIS 9.85075E-1
d53aIS 3.95988E+0
d53bIS 8.18255E-1
d53cIS 2.12866E+0
d44bIS 3.22290E-1
d52aIS 3.28722E+0
d52bIS 7.56609E-1
d54aIS 6.54687E+0
d54bIS 2.23290E+0
d54cIS 5.68333E+0
d74aIS 5.11193E-1
d74bIS 6.20821E-1
d81aIS 7.09339E-1
d81bIS 7.70946E-1
d81cIS 6.52751E-1
d71aIS 7.93416E-1
d71bIS 5.04455E-1
d72aIS 6.74538E-1
d72bIS 6.56462E-1
d72cIS 6.66234E-1
