name T n1 I01 n2 I02 Rs Rsh
d41i4pr 295.24 1.0000000E+0 2.0734736E-11 4.0753753E+1 5.6609754E-5 3.4096384E+3 3.2148621E+14
d41i3pr 295.2 1.0000000E+0 1.8449100E-11 3.7170027E+1 5.1256016E-5 3.3431074E+3 2.6505789E+18
d41i2pr 295.14 1.0000000E+0 1.9304434E-11 4.0172702E+1 5.5969685E-5 3.3556560E+3 2.4458266E+17
d41i1pr 294.99 1.0000000E+0 1.7849923E-11 3.9109695E+1 5.4172153E-5 3.3250147E+3 5.0242713E+18
d63ai4pr 294.99 1.0000000E+0 1.2106304E-26 1.6230320E+0 9.0330680E-9 1.0865407E+3 8.0436183E+4
d63ai3pr 295 1.0000000E+0 2.4932347E-27 1.6214537E+0 8.9878566E-9 1.0887087E+3 8.0135777E+4
d63ai2pr 295 1.0000000E+0 2.4962517E-26 1.6083341E+0 8.4667692E-9 1.0971997E+3 7.9522217E+4
d63ai1pr 295 1.0000000E+0 2.9840423E-27 1.6014437E+0 8.2730681E-9 1.1080014E+3 8.1279365E+4
d63bi4pr 295.02 1.0000000E+0 8.7184306E-29 2.3000540E+0 3.6919257E-8 3.1800534E+3 1.2948608E+5
d63bi3pr 295.01 1.0000000E+0 9.2946814E-12 2.4980837E+0 5.2431748E-8 3.9829080E+3 1.3290969E+5
d63bi2pr 294.99 1.0000000E+0 9.1379486E-12 2.4954723E+0 5.2020813E-8 3.9829180E+3 1.3115071E+5
d63bi1pr 294.96 1.0000000E+0 1.0562351E-11 2.6433254E+0 6.6385755E-8 4.0074025E+3 1.3914894E+5
d83ai4pr 294.94 1.0000000E+0 9.6743198E-12 1.2747949E+1 9.8128437E-6 2.4307307E+3 7.2017742E+18
d83ai3pr 294.93 1.0000000E+0 9.7556729E-12 1.2879917E+1 9.9548325E-6 2.4313019E+3 7.2049521E+18
d83ai2pr 294.94 1.0000000E+0 9.6494639E-12 1.3094744E+1 1.0221692E-5 2.4345206E+3 9.5917672E+18
d83ai1pr 294.99 1.0000000E+0 1.0342675E-11 1.3677517E+1 1.0792269E-5 2.4777385E+3 7.1627419E+18
d83bi3pr 294.98 1.0000000E+0 1.9024954E-11 2.2910467E+0 1.6434616E-8 3.7335665E+3 3.7233200E+4
d83bi2pr 294.97 1.0000000E+0 1.9018210E-11 2.2663096E+0 1.3537159E-8 3.7097649E+3 3.6317657E+4
d83bi1pr 295.02 1.0000000E+0 1.6648528E-11 2.0533562E+0 7.9822707E-9 3.6352467E+3 3.5847326E+4
d62ai4pr 295.03 1.0000000E+0 1.0177596E-25 1.4714337E+0 1.3827266E-7 6.6022806E+1 1.7762872E+5
d62ai3pr 295.03 1.0000000E+0 9.5929886E-26 1.4713322E+0 1.3822779E-7 6.5985240E+1 1.7466954E+5
d62ai2pr 295.02 1.0000000E+0 9.3149858E-26 1.4703955E+0 1.3779283E-7 6.6011458E+1 1.7042277E+5
d62ai1pr 295 1.0000000E+0 8.4849438E-26 1.4706882E+0 1.3800241E-7 6.5968331E+1 1.7653694E+5
d62bi4pr 295.03 1.0000000E+0 2.0634761E-13 5.2614025E+0 1.0141178E-5 2.2344101E+2 3.8373796E+3
d62bi3pr 295.04 1.0000000E+0 1.8587973E-13 5.1273800E+0 9.3660691E-6 2.2666718E+2 3.7129321E+3
d62bi2pr 295.04 1.0000000E+0 1.3612192E-13 4.9868605E+0 8.1531989E-6 2.2015887E+2 3.6195689E+3
d62bi1pr 295.04 1.0000000E+0 1.3780690E-13 5.4729390E+0 1.1257157E-5 2.1500713E+2 4.1740476E+3
d42i4pr 295.21 1.0000000E+0 1.2013413E-13 2.8750537E+0 2.5441533E-7 6.2102711E+2 2.8173946E+4
d42i2pr 295.19 1.0000000E+0 1.2368466E-13 2.8455625E+0 2.4526923E-7 6.2361633E+2 2.7155457E+4
d42i1pr 295.13 1.0000000E+0 1.2961683E-13 2.8147419E+0 2.3694792E-7 6.2809051E+2 2.6466152E+4
d61ai4pr 295.04 1.0000000E+0 2.0849218E-12 4.5989775E+0 9.0559236E-7 4.9230684E+3 3.4864879E+5
d61ai3pr 295.03 1.0000000E+0 1.7615217E-12 4.6368542E+0 9.2101983E-7 4.8020826E+3 3.6205550E+5
d61ai2pr 295.02 1.0000000E+0 1.8207480E-12 4.7568473E+0 9.9485159E-7 4.7607723E+3 4.2819296E+5
d61ai1pr 294.99 1.0000000E+0 1.6396435E-12 4.7156307E+0 9.5158688E-7 4.7250913E+3 3.6943226E+5
d61ci4pr 295.05 1.0000000E+0 6.3373479E-12 4.0693397E+0 7.3607556E-7 1.7555605E+3 1.0295305E+5
d61ci3pr 295.05 1.0000000E+0 6.2538798E-12 4.0798472E+0 7.4118373E-7 1.7519177E+3 1.0199660E+5
d61ci2pr 295.04 1.0000000E+0 6.5142649E-12 4.1005172E+0 7.4993258E-7 1.7679939E+3 1.0017686E+5
d61ci1pr 295.02 1.0000000E+0 6.9113318E-12 4.1564628E+0 7.8504534E-7 1.7857060E+3 1.0612160E+5
d64ai4pr 295.03 1.0000000E+0 6.0203080E-28 1.8411888E+0 3.7257021E-8 1.6430339E+2 1.1126205E+5
d64ai3pr 295.03 1.0000000E+0 6.2792192E-28 1.8438917E+0 3.7568504E-8 1.6379094E+2 1.1125281E+5
d64ai2pr 295.02 1.0000000E+0 6.4429682E-28 1.8392391E+0 3.7047587E-8 1.6456034E+2 1.1060451E+5
d64ai1pr 294.98 1.0000000E+0 5.9540289E-28 1.8409356E+0 3.7196358E-8 1.6401678E+2 1.1321316E+5
d64bi4pr 295.04 1.0000000E+0 1.0043518E-11 2.2538049E+0 5.7799699E-8 1.1661505E+3 9.1828925E+4
d64bi3pr 295.04 1.0000000E+0 1.0013984E-11 2.2606194E+0 5.8768372E-8 1.1660024E+3 9.2095200E+4
d64bi2pr 295.05 1.0000000E+0 1.0048431E-11 2.2385232E+0 5.5697701E-8 1.1698393E+3 9.0716235E+4
