N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 5.145200000E-05 4.260100000E-05 3.677100000E-05 3.309500000E-05
1.600000000E+01 1.862960000E-04 1.713350000E-04 1.620220000E-04 1.556770000E-04
1.700000000E+01 6.675040000E-04 6.667680000E-04 6.644150000E-04 6.642590000E-04
1.549996187E+01 1.057190000E-04 9.119800000E-05 8.125800000E-05 7.523700000E-05
1.649996187E+01 3.374350000E-04 3.288630000E-04 3.244200000E-04 3.218490000E-04
1.674996808E+01 4.754450000E-04 4.714590000E-04 4.687280000E-04 4.678900000E-04
1.624993176E+01 2.441930000E-04 2.316270000E-04 2.248170000E-04 2.209790000E-04
1.574996808E+01 1.451750000E-04 1.280720000E-04 1.173730000E-04 1.107040000E-04
1.524993176E+01 7.412500000E-05 6.279700000E-05 5.555600000E-05 5.038900000E-05
