T file kT1 TDD
315 001_315 36.807 1.000000E+10
315 002_315 36.807 1.468000E+10
315 003_315 36.807 2.154000E+10
315 004_315 36.807 3.162000E+10
315 005_315 36.807 4.642000E+10
315 006_315 36.807 6.813000E+10
315 007_315 36.807 1.000000E+11
315 008_315 36.807 1.468000E+11
315 009_315 36.807 2.154000E+11
315 010_315 36.807 3.162000E+11
315 011_315 36.807 4.642000E+11
315 012_315 36.807 6.813000E+11
315 013_315 36.807 1.000000E+12
315 014_315 36.807 1.468000E+12
315 015_315 36.807 2.154000E+12
315 016_315 36.807 3.162000E+12
315 017_315 36.807 4.642000E+12
315 018_315 36.807 6.813000E+12
315 019_315 36.807 1.000000E+13
