x N
1.8432491E+0 9.8500305E+20
1.8298337E+0 9.7557769E+20
1.8160572E+0 9.5232063E+20
1.8017652E+0 9.3779985E+20
1.7873309E+0 9.3988464E+20
1.7728722E+0 9.2474355E+20
1.7577197E+0 9.1612602E+20
1.7427320E+0 9.2428632E+20
1.7275859E+0 9.2017689E+20
1.7121976E+0 9.0805966E+20
1.6963641E+0 9.1373137E+20
1.6808873E+0 9.1136882E+20
1.6646733E+0 8.9360839E+20
1.6482570E+0 8.9659615E+20
1.6318298E+0 9.0100508E+20
1.6152437E+0 8.9118292E+20
1.5981057E+0 8.8732890E+20
1.5810163E+0 9.0206122E+20
1.5640745E+0 8.9146662E+20
1.5461956E+0 8.8604550E+20
1.5286500E+0 8.9289353E+20
1.5106300E+0 8.7833800E+20
1.4920628E+0 8.8420396E+20
1.4738442E+0 8.9083284E+20
1.4550884E+0 8.8420528E+20
1.4361165E+0 8.9405691E+20
1.4172882E+0 8.8772105E+20
1.3975261E+0 8.7816472E+20
1.3777389E+0 8.9020240E+20
1.3579517E+0 8.9193220E+20
1.3376582E+0 8.7995856E+20
1.3167068E+0 8.7406395E+20
1.2954805E+0 8.8502646E+20
1.2743754E+0 8.8064456E+20
1.2522139E+0 8.7934010E+20
1.2303004E+0 8.6420260E+20
1.2065291E+0 8.5759101E+20
1.1834044E+0 8.7603817E+20
1.1596995E+0 8.7201608E+20
1.1353965E+0 8.7575828E+20
1.1108816E+0 8.8140478E+20
