fname time Tem kT_1 R 
T010 8:20:50 292.5 39.64 1.385E+003 
T020 9:10:56 295.8 39.2 1.341E+003 
T030 9:35:02 298.6 38.83 1.297E+003 
T040 9:56:20 302.4 38.34 1.233E+003 
T050 10:18:34 305.8 37.91 1.175E+003 
T060 10:45:14 309.6 37.45 1.112E+003 
T070 11:08:14 313.7 36.96 1.042E+003 
T080 11:29:44 317.2 36.55 9.835E+002 
T090 11:51:24 321.4 36.07 9.100E+002 
T100 12:11:58 324.5 35.73 8.544E+002 
T110 12:33:56 328.1 35.34 7.815E+002 
T120 12:58:16 331.1 35.02 7.201E+002 
T130 13:25:16 334.3 34.68 6.711E+002 
T140 13:45:00 337.5 34.35 6.302E+002 
T150 14:06:08 340.7 34.03 5.875E+002 
