N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 1.016603365E+00 1.015154463E+00 1.014103455E+00 1.013298431E+00
1.016672606E+01 1.016602759E+00 1.015152139E+00 1.014098868E+00 1.013291031E+00
1.033324570E+01 1.016601897E+00 1.015148788E+00 1.014092246E+00 1.013280363E+00
1.049996187E+01 1.016600691E+00 1.015143995E+00 1.014082765E+00 1.013265113E+00
1.066670514E+01 1.016599048E+00 1.015137230E+00 1.014069354E+00 1.013243595E+00
1.083333839E+01 1.016596909E+00 1.015127875E+00 1.014050738E+00 1.013213827E+00
1.100000000E+01 1.016594344E+00 1.015115351E+00 1.014025644E+00 1.013173894E+00
1.116672606E+01 1.016591791E+00 1.015099483E+00 1.013993409E+00 1.013122933E+00
1.133324570E+01 1.016590564E+00 1.015081356E+00 1.013955378E+00 1.013063306E+00
1.149996187E+01 1.016593927E+00 1.015065112E+00 1.013917762E+00 1.013004784E+00
1.166670514E+01 1.016609197E+00 1.015061418E+00 1.013896806E+00 1.012971453E+00
1.183333839E+01 1.016651615E+00 1.015093405E+00 1.013926736E+00 1.013011212E+00
1.200000000E+01 1.016750769E+00 1.015205534E+00 1.014069887E+00 1.013204560E+00
1.216672606E+01 1.016959918E+00 1.015473662E+00 1.014424026E+00 1.013666215E+00
1.233324570E+01 1.017366230E+00 1.016011274E+00 1.015119868E+00 1.014531544E+00
1.249996187E+01 1.018096519E+00 1.016963528E+00 1.016301918E+00 1.015928709E+00
1.266670514E+01 1.031718642E+00 1.032438533E+00 1.030381891E+00 1.025661358E+00
1.283333839E+01 1.056620420E+00 1.054114167E+00 1.048559777E+00 1.040959650E+00
1.300000000E+01 1.075907792E+00 1.069740655E+00 1.061403344E+00 1.051919950E+00
