fname time Tem kT_1 n Rs Io Rsh Iph Voc Isc FF Pm Vm Im rmsre 
00L1 31912 305.16 37.994 1.166618652E+00 1.241579184E+00 3.026743376E-09 6.310673793E+02 1.759494109E-04 1.151474573E-01 1.505118812E-04 3.293705041E-01 5.708340106E-06 5.921392012E-02 7.762436378E-05 3.264345753E-01 
00L2 32038 305.13 37.998 1.157720169E+00 1.275229785E+00 2.740746900E-09 6.284737594E+02 1.767564655E-04 1.149953558E-01 1.506298507E-04 3.518878550E-01 6.095307568E-06 5.967942309E-02 7.674807701E-05 3.091571796E-01 
00L3 32126 305.13 37.998 1.156942764E+00 1.272707362E+00 2.705118907E-09 6.225980960E+02 1.781830234E-04 1.153472609E-01 1.508287129E-04 3.436154716E-01 5.978111636E-06 5.952130499E-02 7.735247033E-05 3.649291593E-01 
00L4 32224 305.09 38.003 1.151840142E+00 1.277972843E+00 2.544313650E-09 6.213844236E+02 1.780312196E-04 1.154347538E-01 1.509287129E-04 3.193068780E-01 5.563098158E-06 5.904480996E-02 7.840173634E-05 4.197514587E-01 
00L5 32306 305.09 38.003 1.158681170E+00 1.275515580E+00 2.781329915E-09 6.286789595E+02 1.765363687E-04 1.149826563E-01 1.505124378E-04 3.318147881E-01 5.742492871E-06 5.925988607E-02 7.740979109E-05 3.048553958E-01 
00L6 32394 305.04 38.009 1.161022723E+00 1.267924909E+00 2.835463987E-09 6.292997899E+02 1.765868865E-04 1.150543016E-01 1.509472637E-04 3.295237373E-01 5.722882245E-06 5.930953197E-02 7.783939039E-05 3.168019964E-01 
00L7 32486 305.02 38.011 1.153034432E+00 1.291214463E+00 2.574776750E-09 6.283418702E+02 1.766975694E-04 1.152550224E-01 1.519664921E-04 3.224126974E-01 5.647026625E-06 5.917478275E-02 7.808995077E-05 3.547447081E-01 
00L8 32572 305.04 38.009 1.142077792E+00 1.313038972E+00 2.243578335E-09 6.193438963E+02 1.781047251E-04 1.151770412E-01 1.503793970E-04 3.202560934E-01 5.546916886E-06 5.905127068E-02 7.789242441E-05 3.803698411E-01 
00L9 32662 305.06 38.006 1.147245006E+00 1.291086717E+00 2.406683984E-09 6.280058322E+02 1.764949774E-04 1.151615927E-01 1.507124378E-04 3.325881552E-01 5.772494601E-06 5.911581936E-02 7.761878317E-05 3.540023913E-01 
0L10 32750 305.04 38.009 1.168419030E+00 1.236485634E+00 3.087361700E-09 6.307213125E+02 1.765465608E-04 1.154915485E-01 1.510140000E-04 3.418962833E-01 5.962958616E-06 5.949594741E-02 7.745015050E-05 3.478321309E-01 
0L11 32846 305.06 38.006 1.148907073E+00 1.294927399E+00 2.462579327E-09 6.203997809E+02 1.780149987E-04 1.148990992E-01 1.518425532E-04 3.315748864E-01 5.784845320E-06 5.924771318E-02 7.727007039E-05 3.496159577E-01 
0L12 32926 305.06 38.006 1.148418619E+00 1.287083932E+00 2.438415145E-09 6.274990142E+02 1.767863328E-04 1.152865761E-01 1.500323232E-04 3.346529206E-01 5.788395471E-06 5.922187352E-02 7.767913710E-05 3.520079566E-01 
0L13 33018 305.05 38.008 1.151452701E+00 1.294596634E+00 2.552613709E-09 6.279637541E+02 1.767732891E-04 1.153400734E-01 1.509165829E-04 3.437874611E-01 5.984215428E-06 5.936559062E-02 7.722274015E-05 3.561360243E-01 
0L14 33104 305.08 38.004 1.164915254E+00 1.222161410E+00 2.967408932E-09 6.300463899E+02 1.762523810E-04 1.150870758E-01 1.498238806E-04 3.354127053E-01 5.783451614E-06 5.923131294E-02 7.752555726E-05 3.224558823E-01 
0L15 33194 305.03 38.01 1.140748699E+00 1.302957778E+00 2.239599476E-09 6.247118296E+02 1.774517150E-04 1.150049761E-01 1.505455446E-04 3.392098854E-01 5.872905857E-06 5.948321147E-02 7.718591817E-05 3.328561133E-01 
0L16 33322 305.14 37.996 1.137149403E+00 1.566386990E+00 2.361980048E-09 6.275537414E+02 1.519713302E-04 9.800443192E-02 1.256735294E-04 -3.454862669E-01 -4.255203322E-06 5.046631212E-02 6.656218418E-05 1.894477278E+00 
0L17 33444 304.84 38.034 1.162106999E+00 1.514590787E+00 3.060746518E-09 6.472212429E+02 1.442961447E-04 9.826676502E-02 1.266970874E-04 -3.535868183E-01 -4.402195813E-06 5.027443366E-02 6.707195220E-05 2.767852891E+00 
0L18 33534 304.82 38.036 1.148518884E+00 1.566886755E+00 2.618204963E-09 6.282870377E+02 1.525899307E-04 9.864418240E-02 1.258413793E-04 -3.252761883E-01 -4.037822460E-06 5.046348934E-02 6.676107089E-05 8.048242816E-01 
0L19 33624 304.89 38.027 1.150537517E+00 1.543587631E+00 2.674100716E-09 6.268564901E+02 1.529432443E-04 9.848372478E-02 1.269076923E-04 -3.303196346E-01 -4.128447843E-06 5.053489199E-02 6.700096576E-05 7.133778390E-01 
0L20 33712 304.91 38.025 1.146752988E+00 1.571951278E+00 2.586805939E-09 6.269879197E+02 1.528611358E-04 9.851452866E-02 1.272510204E-04 -3.350089637E-01 -4.199697259E-06 5.041532192E-02 6.719489205E-05 7.992881593E-01 
0L21 33798 304.97 38.018 1.165328095E+00 1.516039028E+00 3.247492195E-09 6.365546101E+02 1.508415617E-04 9.872403603E-02 1.259355000E-04 -3.327569115E-01 -4.137120374E-06 5.079584575E-02 6.701864405E-05 7.949996592E-01 
0L22 33890 305.02 38.011 1.169816093E+00 1.490702405E+00 3.402537926E-09 6.422223163E+02 1.477127577E-04 9.866787186E-02 1.274537688E-04 -3.089558325E-01 -3.885302536E-06 5.099107351E-02 6.700909860E-05 8.237179313E-01 
0L23 33978 305.01 38.013 1.137691502E+00 1.586905895E+00 2.344344865E-09 6.238616972E+02 1.543685429E-04 9.910836487E-02 1.272285714E-04 -3.230124353E-01 -4.072998066E-06 5.061522450E-02 6.786078712E-05 4.930262751E-01 
0L24 34066 305.04 38.009 1.137543611E+00 1.588613830E+00 2.364410382E-09 6.246354766E+02 1.541151440E-04 9.886605282E-02 1.269807882E-04 -3.225289398E-01 -4.049057115E-06 5.047393336E-02 6.823266101E-05 4.012366294E-01 
0L25 34160 305.01 38.013 1.129210152E+00 1.602455443E+00 2.109635065E-09 6.277238333E+02 1.534090821E-04 9.915131779E-02 1.274140000E-04 -3.148772916E-01 -3.977928583E-06 5.050347857E-02 6.782499692E-05 4.512347310E-01 
