N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 -1.524928490E-01 -1.485421580E-01 -1.452068630E-01 -1.422918880E-01
1.600000000E+01 2.926986900E-02 2.925762300E-02 2.879574500E-02 2.855114300E-02
1.700000000E+01 6.024559300E-02 5.880754100E-02 5.666375200E-02 5.652443800E-02
1.549996187E+01 -5.400074000E-03 -6.705246000E-03 -5.673884000E-03 -4.390573000E-03
1.649996187E+01 5.074696300E-02 5.078130100E-02 5.012200800E-02 4.962966300E-02
1.674996808E+01 5.931557500E-02 5.682648600E-02 5.654492000E-02 5.581026000E-02
1.624993176E+01 3.977064700E-02 3.967962900E-02 3.941217700E-02 3.868287900E-02
1.574996808E+01 1.872651200E-02 1.826809500E-02 1.812586500E-02 1.903521400E-02
1.524993176E+01 -7.716366900E-02 -7.736017800E-02 -7.576594300E-02 -7.273103400E-02
