N_Fe T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.000000000E+01 1.221048187E+00 1.224414342E+00 1.227238047E+00 1.230354400E+00 1.233017878E+00 1.234421466E+00 1.235998635E+00 1.236690939E+00 1.235306079E+00 1.234231550E+00 1.232222421E+00
1.016672606E+01 1.221340617E+00 1.224686734E+00 1.227512459E+00 1.230631391E+00 1.233304947E+00 1.234741739E+00 1.236369920E+00 1.237051331E+00 1.235707429E+00 1.234655990E+00 1.232667667E+00
1.033324570E+01 1.221758635E+00 1.225075899E+00 1.227903950E+00 1.231026652E+00 1.233714835E+00 1.235199180E+00 1.236847399E+00 1.237567746E+00 1.236283143E+00 1.235266059E+00 1.233308753E+00
1.049996187E+01 1.222349955E+00 1.225625903E+00 1.228455998E+00 1.231583953E+00 1.234293283E+00 1.235838411E+00 1.237513884E+00 1.238322240E+00 1.237100812E+00 1.236134755E+00 1.234223928E+00
1.066670514E+01 1.223174539E+00 1.226391740E+00 1.229222043E+00 1.232357061E+00 1.235096339E+00 1.236723643E+00 1.238441776E+00 1.239332794E+00 1.238245659E+00 1.237355425E+00 1.235514547E+00
1.083333839E+01 1.224302967E+00 1.227437416E+00 1.230262804E+00 1.233406410E+00 1.236187035E+00 1.237914883E+00 1.239725864E+00 1.240732850E+00 1.239817216E+00 1.239039451E+00 1.237303677E+00
1.100000000E+01 1.225811242E+00 1.228830557E+00 1.231639672E+00 1.234791682E+00 1.237626842E+00 1.239503397E+00 1.241443307E+00 1.242579491E+00 1.241917608E+00 1.241305012E+00 1.239726533E+00
1.116672606E+01 1.227771409E+00 1.230633346E+00 1.233404455E+00 1.236560000E+00 1.239462020E+00 1.241510192E+00 1.243618492E+00 1.244974546E+00 1.244628650E+00 1.244253445E+00 1.242906372E+00
1.133324570E+01 1.230239672E+00 1.232891809E+00 1.235588545E+00 1.238733424E+00 1.241708375E+00 1.243951888E+00 1.246298456E+00 1.247920150E+00 1.247978622E+00 1.247932667E+00 1.246915571E+00
1.149996187E+01 1.233245361E+00 1.235627503E+00 1.238196649E+00 1.241302337E+00 1.244342467E+00 1.246802453E+00 1.249392442E+00 1.251364375E+00 1.251911500E+00 1.252297907E+00 1.251728593E+00
1.166670514E+01 1.236785254E+00 1.238835192E+00 1.241209178E+00 1.244242225E+00 1.247307343E+00 1.249974204E+00 1.252839857E+00 1.255181299E+00 1.256277958E+00 1.257192882E+00 1.257191272E+00
1.183333839E+01 1.240827028E+00 1.242487993E+00 1.244592442E+00 1.247465461E+00 1.250532629E+00 1.253356754E+00 1.256481703E+00 1.259200605E+00 1.260865703E+00 1.262373508E+00 1.263034667E+00
1.200000000E+01 1.245325066E+00 1.246548695E+00 1.248312013E+00 1.250951125E+00 1.253958895E+00 1.256863488E+00 1.260196257E+00 1.263258660E+00 1.265460500E+00 1.267574317E+00 1.268942347E+00
1.216672606E+01 1.250222212E+00 1.250982833E+00 1.252343915E+00 1.254702986E+00 1.257554180E+00 1.260446734E+00 1.263908753E+00 1.267244038E+00 1.269905850E+00 1.272583564E+00 1.274640342E+00
1.233324570E+01 1.255484914E+00 1.255766819E+00 1.256679434E+00 1.258670891E+00 1.261317360E+00 1.264101991E+00 1.267600531E+00 1.271115069E+00 1.274130925E+00 1.277287212E+00 1.279960591E+00
1.249996187E+01 1.261088206E+00 1.260886925E+00 1.261321654E+00 1.262924186E+00 1.265270585E+00 1.267857246E+00 1.271297472E+00 1.274889206E+00 1.278141252E+00 1.281666846E+00 1.284850729E+00
1.266670514E+01 1.266999013E+00 1.266331868E+00 1.266276827E+00 1.267455759E+00 1.269446706E+00 1.271756739E+00 1.275049935E+00 1.278619144E+00 1.281990186E+00 1.285768737E+00 1.289343140E+00
1.283333839E+01 1.273193520E+00 1.272085490E+00 1.271546198E+00 1.272282816E+00 1.273877767E+00 1.275846917E+00 1.278915227E+00 1.282370648E+00 1.285751122E+00 1.289669556E+00 1.293514185E+00
1.300000000E+01 1.279636623E+00 1.278128522E+00 1.277123900E+00 1.277418732E+00 1.278591990E+00 1.280170079E+00 1.282942842E+00 1.286208582E+00 1.289499842E+00 1.293453363E+00 1.297454297E+00
