fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 Iph Voc Isc Pm FF Vm Im dev 
LL070 9:40 305 38.01 1.000E+000 5.017E+000 1.516E-010 7.202E+002 2.725E+000 5.636E-006 4.871E-005 3.273E-002 4.836E-005 3.987E-007 2.519E-001 1.640E-002 2.416E-005 5.329E-004 
LL075 9:37 304.8 38.04 1.000E+000 5.000E+000 1.450E-010 7.192E+002 2.726E+000 5.592E-006 5.819E-005 3.895E-002 5.776E-005 5.676E-007 2.523E-001 1.960E-002 2.881E-005 2.155E-003 
LL080 9:35 304.6 38.06 1.000E+000 4.970E+000 1.389E-010 7.183E+002 2.711E+000 5.423E-006 7.398E-005 4.925E-002 7.344E-005 9.155E-007 2.531E-001 2.480E-002 3.677E-005 3.345E-003 
LL085 9:33 304.6 38.06 1.000E+000 4.996E+000 1.405E-010 7.183E+002 2.721E+000 5.497E-006 8.392E-005 5.562E-002 8.330E-005 1.176E-006 2.537E-001 2.800E-002 4.183E-005 9.665E-004 
LL090 9:30 304.6 38.06 1.000E+000 5.006E+000 1.421E-010 7.183E+002 2.723E+000 5.559E-006 9.990E-005 6.574E-002 9.917E-005 1.660E-006 2.547E-001 3.320E-002 4.986E-005 2.456E-003 
LL095 9:27 304.8 38.04 1.000E+000 5.001E+000 1.464E-010 7.192E+002 2.718E+000 5.572E-006 1.161E-004 7.590E-002 1.152E-004 2.238E-006 2.559E-001 3.850E-002 5.798E-005 1.526E-002 
LL100 9:25 305 38.01 1.000E+000 4.990E+000 1.491E-010 7.202E+002 2.710E+000 5.538E-006 1.321E-004 8.580E-002 1.311E-004 2.893E-006 2.572E-001 4.360E-002 6.619E-005 1.022E-003 
LL105 9:22 305 38.01 1.000E+000 4.988E+000 1.490E-010 7.202E+002 2.705E+000 5.478E-006 1.535E-004 9.871E-002 1.524E-004 3.896E-006 2.589E-001 5.040E-002 7.714E-005 9.920E-004 
LL110 9:20 304.9 38.03 1.000E+000 5.018E+000 1.494E-010 7.197E+002 2.739E+000 5.756E-006 1.747E-004 1.106E-001 1.734E-004 5.009E-006 2.611E-001 5.680E-002 8.803E-005 2.581E-003 
LL115 9:18 304.7 38.05 1.000E+000 4.982E+000 1.410E-010 7.188E+002 2.703E+000 5.367E-006 1.971E-004 1.235E-001 1.957E-004 6.364E-006 2.632E-001 6.380E-002 9.959E-005 1.620E-002 
LL120 9:15 304.6 38.06 1.000E+000 4.995E+000 1.416E-010 7.183E+002 2.731E+000 5.618E-006 2.212E-004 1.360E-001 2.196E-004 7.949E-006 2.661E-001 7.070E-002 1.123E-004 3.090E-003 
