fname time Tem kT_1 Nfe tau_r Wph Em rmsre 
L0112 1380404589 0 555 1.630457146E+18 9.895051443E-04 3.942857676E-04 6.693381523E-01 7.811016070E-04 
L0112 1380404589 0 555 1.450515616E+18 4.077993112E-03 3.881930241E-04 6.680859042E-01 7.904229301E-04 
L0112 1380404589 0 555 2.111710370E+18 8.450794765E-05 4.107985635E-04 6.716867129E-01 7.822423014E-04 
L0120U5 1380405347 0 555 2.015712238E+20 1.077963194E-07 9.128318669E-04 6.776434694E-01 1.265119516E-03 
L0120U5 1380405347 0 555 1.766461640E+19 6.095615986E-03 3.568349737E-04 6.731938554E-01 1.278955212E-03 
L0120U5 1380405347 0 555 1.873127332E+19 3.392763259E-03 3.627430092E-04 6.737511343E-01 1.262643237E-03 
L0122 1380404733 0 555 1.381404167E+19 4.377148745E-04 3.385231689E-04 6.747625822E-01 1.190455941E-03 
L0122 1380404733 0 555 1.375026912E+19 3.474416569E-03 3.380383628E-04 6.747523403E-01 1.190458266E-03 
L0122 1380404733 0 555 1.374495759E+19 8.202346046E-03 3.379979397E-04 6.747514837E-01 1.190458461E-03 
L0204U17 1380368176 0 555 1.829658641E+19 1.476858340E-05 3.390879401E-04 6.757651559E-01 1.474734483E-03 
L0204U17 1380368176 0 555 2.654043275E+22 4.184833929E-10 9.042983720E-03 6.792190908E-01 1.471263757E-03 
L0204U17 1380368176 0 555 1.611144674E+19 8.070445085E-01 3.254492570E-04 6.754840009E-01 1.473590390E-03 
L0205 1380366355 0 555 1.036035237E+22 1.130186752E-09 5.921283658E-03 6.795065014E-01 1.553839958E-03 
L0205 1380366355 0 555 1.727033792E+19 9.999999719E-01 3.472962562E-04 6.759748914E-01 1.552439502E-03 
L0205 1380366355 0 555 1.727038889E+19 4.049920706E-01 3.472965867E-04 6.759748976E-01 1.552439505E-03 
