fname time Tem kT_1 Nfe tau_r Wph Em rmsre 
L0112 1380404589 0 555 1.733160860E+18 8.552983044E-03 3.971570057E-04 6.686722395E-01 7.808784690E-04 
L0112 1380404589 0 555 1.730876066E+18 1.526216902E+01 3.970617183E-04 6.686671878E-01 7.808789221E-04 
L0112 1380404589 0 555 1.730891985E+18 1.137701938E+00 3.970623824E-04 6.686672230E-01 7.808789190E-04 
L0120U5 1380405347 0 555 1.776830276E+19 4.047223419E-04 3.572265743E-04 6.718477695E-01 1.262598680E-03 
L0120U5 1380405347 0 555 2.528675846E+20 5.796523828E-08 1.046172004E-03 6.731496639E-01 1.261852374E-03 
L0120U5 1380405347 0 555 1.768144801E+19 4.282625833E+01 3.566611969E-04 6.718373522E-01 1.262594056E-03 
L0122 1380404733 0 555 1.304666872E+19 4.099156163E-02 3.331979419E-04 6.728420456E-01 1.190482045E-03 
L0122 1380404733 0 555 1.304590190E+19 4.592053663E+00 3.331919526E-04 6.728419113E-01 1.190482075E-03 
L0122 1380404733 0 555 1.304589590E+19 3.497377915E+01 3.331919057E-04 6.728419102E-01 1.190482075E-03 
L0204U17 1380368176 0 555 1.453786494E+19 1.580124324E-01 3.164599528E-04 6.732457168E-01 1.483996301E-03 
L0204U17 1380368176 0 555 1.557059269E+19 2.878254535E-04 3.223081480E-04 6.736927413E-01 1.472846294E-03 
L0204U17 1380368176 0 555 1.652536024E+19 3.057903460E-05 3.284660898E-04 6.738228456E-01 1.472808248E-03 
L0205 1380366355 0 555 1.633174027E+19 3.862623139E-01 3.417532879E-04 6.740615878E-01 1.552412027E-03 
L0205 1380366355 0 555 1.633165156E+19 9.999657418E+01 3.417526968E-04 6.740615759E-01 1.552412024E-03 
L0205 1380366355 0 555 1.633165156E+19 9.999519536E+01 3.417526968E-04 6.740615759E-01 1.552412024E-03 
L0208U5 1380618724 0 555 4.473385981E+21 2.976662176E-09 3.498330442E-03 6.771779182E-01 1.302941034E-03 
L0208U5 1380618724 0 555 1.000000000E+23 1.228414032E-10 1.622103681E-02 6.773195033E-01 1.302608571E-03 
L0208U5 1380618724 0 555 1.000000000E+23 1.228414032E-10 1.622103681E-02 6.773195033E-01 1.302608571E-03 
