N_Fe N_B T d n_Fe n_Fe_SRH
1.000000E+10 1.000E+17 290 1.500E-4 1.259914674E+00 1.318734758E+00
1.468000E+10 1.000E+17 290 1.500E-4 1.266477022E+00 1.318835975E+00
2.154000E+10 1.000E+17 290 1.500E-4 1.272812251E+00 1.318983592E+00
3.162000E+10 1.000E+17 290 1.500E-4 1.279160831E+00 1.319198601E+00
4.642000E+10 1.000E+17 290 1.500E-4 1.285569954E+00 1.319510916E+00
6.813000E+10 1.000E+17 290 1.500E-4 1.291936464E+00 1.319962602E+00
1.000000E+11 1.000E+17 290 1.500E-4 1.298089317E+00 1.320611654E+00
1.468000E+11 1.000E+17 290 1.500E-4 1.303886490E+00 1.321535733E+00
2.154000E+11 1.000E+17 290 1.500E-4 1.309288714E+00 1.322834448E+00
3.162000E+11 1.000E+17 290 1.500E-4 1.314383894E+00 1.324627520E+00
4.642000E+11 1.000E+17 290 1.500E-4 1.319361372E+00 1.327045138E+00
6.813000E+11 1.000E+17 290 1.500E-4 1.324453860E+00 1.330207020E+00
1.000000E+12 1.000E+17 290 1.500E-4 1.329868904E+00 1.334190606E+00
1.468000E+12 1.000E+17 290 1.500E-4 1.335729833E+00 1.338997291E+00
2.154000E+12 1.000E+17 290 1.500E-4 1.342050281E+00 1.344540001E+00
3.162000E+12 1.000E+17 290 1.500E-4 1.348735722E+00 1.350645692E+00
4.642000E+12 1.000E+17 290 1.500E-4 1.355622706E+00 1.357095485E+00
6.813000E+12 1.000E+17 290 1.500E-4 1.362549839E+00 1.363688978E+00
1.000000E+13 1.000E+17 290 1.500E-4 1.369405352E+00 1.370286802E+00
