N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.051739610E+00 1.046344247E+00 1.041603666E+00 1.037641451E+00
1.600000000E+01 1.229923748E+00 1.229548843E+00 1.228152073E+00 1.229645884E+00
1.700000000E+01 1.352523105E+00 1.351297542E+00 1.350206021E+00 1.350254679E+00
1.549996187E+01 1.012544847E+00 1.011421877E+00 1.010663139E+00 1.010143856E+00
1.649996187E+01 1.306943196E+00 1.306334905E+00 1.305350993E+00 1.304582458E+00
1.674996808E+01 1.330728365E+00 1.328497203E+00 1.328244819E+00 1.327667408E+00
1.624993176E+01 1.279593308E+00 1.278322428E+00 1.277369463E+00 1.274899149E+00
1.574996808E+01 1.112543829E+00 1.114447622E+00 1.120396887E+00 1.124835835E+00
1.524993176E+01 1.021564053E+00 1.019288519E+00 1.017534307E+00 1.016239433E+00
