N_B T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.500000000E+01 1.192191219E+00 1.192050548E+00 1.191614540E+00 1.188758414E+00 1.179715746E+00 1.155520382E+00 1.100108250E+00 1.012141603E+00 1.012936159E+00 1.015587972E+00 1.020749784E+00
1.600000000E+01 1.216490798E+00 1.218366324E+00 1.220577059E+00 1.222728542E+00 1.225047885E+00 1.227134421E+00 1.228508965E+00 1.229506898E+00 1.229684935E+00 1.228091603E+00 1.225056011E+00
1.700000000E+01 1.253892842E+00 1.256026499E+00 1.257570519E+00 1.259947040E+00 1.262830674E+00 1.265597741E+00 1.267646748E+00 1.269430781E+00 1.270665481E+00 1.270085073E+00 1.268878282E+00
1.549996187E+01 1.200828827E+00 1.202442913E+00 1.203859781E+00 1.206096191E+00 1.207648719E+00 1.208444458E+00 1.207925240E+00 1.203996443E+00 1.192669818E+00 1.166651686E+00 1.112985498E+00
1.649996187E+01 1.225209062E+00 1.227378246E+00 1.229705515E+00 1.232636609E+00 1.235599575E+00 1.238041410E+00 1.240484665E+00 1.242201216E+00 1.242717876E+00 1.242825016E+00 1.241928273E+00
1.674996808E+01 1.235943910E+00 1.237817640E+00 1.240070950E+00 1.242937056E+00 1.245855637E+00 1.248335259E+00 1.250802886E+00 1.252584999E+00 1.253188834E+00 1.253481528E+00 1.252620745E+00
1.624993176E+01 1.220652442E+00 1.222929546E+00 1.225486863E+00 1.227902053E+00 1.230549827E+00 1.233023841E+00 1.234714954E+00 1.236174497E+00 1.236785421E+00 1.236011120E+00 1.234358007E+00
1.574996808E+01 1.209153796E+00 1.210350681E+00 1.212262932E+00 1.214422332E+00 1.216632303E+00 1.218127568E+00 1.219415178E+00 1.219650170E+00 1.217765471E+00 1.212852320E+00 1.200928338E+00
1.524993176E+01 1.196476714E+00 1.197445810E+00 1.198719489E+00 1.199728107E+00 1.199559796E+00 1.196198015E+00 1.185750323E+00 1.159446236E+00 1.102518378E+00 1.009260366E+00 1.009852561E+00
