N_B T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.500000000E+01 1.193279125E+00 1.193065314E+00 1.192668675E+00 1.190163588E+00 1.182213886E+00 1.160825869E+00 1.111362011E+00 1.016064102E+00 1.012986323E+00 1.015268013E+00 1.019927077E+00
1.600000000E+01 1.219426595E+00 1.221017255E+00 1.223033956E+00 1.225113277E+00 1.227455277E+00 1.229647045E+00 1.231250503E+00 1.232509585E+00 1.233016820E+00 1.231886866E+00 1.229348437E+00
1.700000000E+01 1.258579263E+00 1.260319106E+00 1.261671472E+00 1.264066407E+00 1.266801296E+00 1.269798176E+00 1.272316480E+00 1.274734539E+00 1.276798001E+00 1.277279584E+00 1.277241064E+00
1.549996187E+01 1.202648817E+00 1.204069290E+00 1.205358270E+00 1.207558253E+00 1.209087557E+00 1.210007268E+00 1.209775387E+00 1.206513245E+00 1.196713740E+00 1.173951018E+00 1.126439863E+00
1.649996187E+01 1.229201162E+00 1.231031270E+00 1.233144101E+00 1.236006281E+00 1.239040610E+00 1.241730077E+00 1.244542508E+00 1.246758095E+00 1.247967322E+00 1.248811527E+00 1.248727749E+00
1.674996808E+01 1.240325497E+00 1.241823296E+00 1.243812957E+00 1.246585485E+00 1.249608488E+00 1.252345321E+00 1.255227944E+00 1.257591482E+00 1.258995482E+00 1.260194286E+00 1.260358757E+00
1.624993176E+01 1.224156225E+00 1.226125124E+00 1.228469468E+00 1.230835653E+00 1.233540074E+00 1.236179080E+00 1.238196267E+00 1.240036930E+00 1.241109912E+00 1.240949751E+00 1.239874494E+00
1.574996808E+01 1.211505234E+00 1.212458799E+00 1.214203838E+00 1.216269822E+00 1.218480760E+00 1.220050730E+00 1.221494889E+00 1.221967656E+00 1.220516683E+00 1.216324580E+00 1.205832841E+00
1.524993176E+01 1.197878499E+00 1.198701040E+00 1.199885492E+00 1.200891447E+00 1.200888279E+00 1.198073292E+00 1.189019483E+00 1.165961832E+00 1.115438658E+00 1.021754566E+00 1.009936550E+00
