fname time Tem kT_1 n0 Eefo E_B E_T Tm dev 
B566FE100_T 1317912114 0 555 4.687021926E-07 4.400000000E-01 3.170763487E-20 0.000000000E+00 2.200000000E+00 5.576199830E-04 
B566FE101_T 1317912114 0 555 5.110010841E-07 4.400000000E-01 1.341412896E-20 0.000000000E+00 2.200000000E+00 1.462225314E-04 
B566FE102_T 1317912114 0 555 5.650802424E-07 4.400000000E-01 1.074269295E-20 0.000000000E+00 2.200000000E+00 5.668875647E-04 
B566FE103_T 1317912114 0 555 5.830796083E-07 4.400000000E-01 2.017396603E-22 0.000000000E+00 2.200000000E+00 6.504892102E-04 
B566FE140_T 1317912114 0 555 4.790303870E-07 4.400000000E-01 2.653145003E-20 0.000000000E+00 2.200000000E+00 5.333861597E-04 
B566FE141_T 1317912114 0 555 5.168667987E-07 4.400000000E-01 1.190465287E-20 0.000000000E+00 2.200000000E+00 1.832066738E-04 
B566FE142_T 1317912114 0 555 5.730837684E-07 4.400000000E-01 9.902789263E-21 0.000000000E+00 2.200000000E+00 5.034530355E-04 
B566FE210_T 1317912114 0 555 4.886642911E-07 4.400000000E-01 2.342459087E-20 0.000000000E+00 2.200000000E+00 2.669959120E-04 
B566FE211_T 1317912114 0 555 5.243247896E-07 4.400000000E-01 1.091113385E-20 0.000000000E+00 2.200000000E+00 1.728910587E-04 
B566FE212_T 1317912114 0 555 5.795132921E-07 4.400000000E-01 8.589092409E-21 0.000000000E+00 2.200000000E+00 6.556273036E-04 
B566FE310_T 1317912114 0 555 4.946352729E-07 4.400000000E-01 1.966717461E-20 0.000000000E+00 2.200000000E+00 1.922010522E-04 
B566FE311_T 1317912114 0 555 5.354891855E-07 4.400000000E-01 1.201796038E-20 0.000000000E+00 2.200000000E+00 3.156520207E-04 
B566FE312_T 1317912114 0 555 5.875051060E-07 4.400000000E-01 7.638365843E-21 0.000000000E+00 2.200000000E+00 6.062423931E-04 
B566FE460_T 1317912114 0 555 5.000762723E-07 4.400000000E-01 1.700444064E-20 0.000000000E+00 2.200000000E+00 1.470078174E-04 
B566FE461_T 1317912114 0 555 5.403971053E-07 4.400000000E-01 9.764535204E-21 0.000000000E+00 2.200000000E+00 3.067053035E-04 
B566FE462_T 1317912114 0 555 5.918464798E-07 4.400000000E-01 6.031219303E-21 0.000000000E+00 2.200000000E+00 6.241722602E-04 
B566FE680_T 1317912114 0 555 5.054299245E-07 4.400000000E-01 1.502511251E-20 0.000000000E+00 2.200000000E+00 1.329497976E-04 
B566FE681_T 1317912114 0 555 5.536200978E-07 4.400000000E-01 9.808312572E-21 0.000000000E+00 2.200000000E+00 4.426092105E-04 
B566FE682_T 1317912114 0 555 5.936246070E-07 4.400000000E-01 4.221886198E-21 0.000000000E+00 2.200000000E+00 5.471388127E-04 
