T file kT1 Voc Jsc FF Eta Vmpp Jmpp Wph TDD TDD1 TDD11 TDD111 d N_B
340 001_340 34.101 4.224590E-1 3.469520E+1 7.274210E+1 0.000000E+0 3.360430E-1 3.172814E+1 1.000000E+2 1.000000E+13 1.000000E+13 1.000000E+13 1.000000E+13 3.500E-4 1.360E+15
340 002_340 34.101 4.182470E-1 3.422465E+1 7.247550E+1 0.000000E+0 3.318270E-1 3.126444E+1 1.000000E+2 1.292000E+13 1.292000E+13 1.292000E+13 1.292000E+13 3.500E-4 1.360E+15
340 003_340 34.101 4.139950E-1 3.374187E+1 7.225130E+1 0.000000E+0 3.277980E-1 3.078964E+1 1.000000E+2 1.668000E+13 1.668000E+13 1.668000E+13 1.668000E+13 3.500E-4 1.360E+15
340 004_340 34.101 4.097070E-1 3.324644E+1 7.199120E+1 0.000000E+0 3.239650E-1 3.026918E+1 1.000000E+2 2.154000E+13 2.154000E+13 2.154000E+13 2.154000E+13 3.500E-4 1.360E+15
340 005_340 34.101 4.053570E-1 3.273827E+1 7.177020E+1 0.000000E+0 3.196920E-1 2.979245E+1 1.000000E+2 2.783000E+13 2.783000E+13 2.783000E+13 2.783000E+13 3.500E-4 1.360E+15
340 006_340 34.101 4.009720E-1 3.221747E+1 7.154850E+1 0.000000E+0 3.159140E-1 2.925748E+1 1.000000E+2 3.594000E+13 3.594000E+13 3.594000E+13 3.594000E+13 3.500E-4 1.360E+15
340 007_340 34.101 3.965230E-1 3.168442E+1 7.128840E+1 0.000000E+0 3.116800E-1 2.873583E+1 1.000000E+2 4.642000E+13 4.642000E+13 4.642000E+13 4.642000E+13 3.500E-4 1.360E+15
340 008_340 34.101 3.920360E-1 3.113969E+1 7.106220E+1 0.000000E+0 3.076410E-1 2.819903E+1 1.000000E+2 5.995000E+13 5.995000E+13 5.995000E+13 5.995000E+13 3.500E-4 1.360E+15
340 009_340 34.101 3.874880E-1 3.058410E+1 7.079070E+1 0.000000E+0 3.037060E-1 2.762342E+1 1.000000E+2 7.743000E+13 7.743000E+13 7.743000E+13 7.743000E+13 3.500E-4 1.360E+15
340 010_340 34.101 3.828950E-1 3.001869E+1 7.054640E+1 0.000000E+0 2.993590E-1 2.708657E+1 1.000000E+2 1.000000E+14 1.000000E+14 1.000000E+14 1.000000E+14 3.500E-4 1.360E+15
