fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA If_EA Voc_EA Isc_EA Pm_EA FF_EA 
00S1 7:23 300.4 38.6 2.50E+00 3.30E-11 8.65E-06 1 2.865 1.38E+04 1.459E-005 0.05844 1.459E-005 2.437E-007 0.2858 
00S2 7:40 305.1 38 2.76E+00 8.30E-11 1.09E-05 1 2.851 1.16E+04 1.456E-005 0.04985 1.455E-005 1.986E-007 0.2738 
00S3 7:54 307.4 37.72 2.89E+00 1.19E-10 1.22E-05 1 2.848 1.10E+04 1.467E-005 0.04673 1.465E-005 1.904E-007 0.278 
00S4 8:7 309.8 37.42 3.02E+00 1.78E-10 1.31E-05 1 2.811 8.17E+03 1.496E-005 0.04208 1.494E-005 1.718E-007 0.2732 
00S5 8:20 312.6 37.09 3.17E+00 2.98E-10 1.60E-05 1 2.844 8.86E+03 1.490E-005 0.03869 1.488E-005 1.570E-007 0.2727 
00S6 8:34 315.6 36.74 3.34E+00 5.09E-10 1.89E-05 1 2.848 7.72E+03 1.500E-005 0.03439 1.498E-005 1.368E-007 0.2656 
00S7 8:51 318.5 36.4 3.50E+00 5.08E-10 1.86E-05 1 2.734 5.58E+03 1.482E-005 0.03054 1.479E-005 1.108E-007 0.2453 
00S8 9:8 321.8 36.03 3.68E+00 1.05E-09 2.29E-05 1 2.773 5.27E+03 1.487E-005 0.0272 1.484E-005 1.062E-007 0.2631 
00S9 9:25 324.4 35.74 3.82E+00 1.05E-09 2.25E-05 1 2.675 4.07E+03 1.386E-005 0.02316 1.383E-005 8.350E-008 0.2606 
0S10 9:41 328.3 35.32 4.04E+00 2.92E-09 3.19E-05 1 2.788 4.23E+03 1.465E-005 0.02097 1.462E-005 7.979E-008 0.2604 
0S11 9:55 331.1 35.02 4.19E+00 5.47E-09 4.00E-05 1 2.884 4.40E+03 1.476E-005 0.01905 1.472E-005 7.293E-008 0.26 
0S12 10:12 334.9 34.62 4.40E+00 5.11E-09 3.54E-05 1 2.645 2.52E+03 1.523E-005 0.01665 1.517E-005 6.283E-008 0.2487 
