fname time Tem kT_1 n0 Eefo E_B E_T Tm dev 
B175FE100_T 1317912116 0 555 9.201367948E-05 1.500000000E+00 1.795742203E-02 0.000000000E+00 1.300000000E+00 2.338120800E-03 
B175FE101_T 1317912116 0 555 9.336625150E-05 1.500000000E+00 1.599697466E-02 0.000000000E+00 1.300000000E+00 2.119364785E-03 
B175FE102_T 1317912116 0 555 9.561458733E-05 1.500000000E+00 8.319352535E-03 0.000000000E+00 1.300000000E+00 2.647812702E-03 
B175FE103_T 1317912116 0 555 1.022294229E-04 1.500000000E+00 3.437201055E-03 0.000000000E+00 1.300000000E+00 3.258195271E-03 
B175FE140_T 1317912116 0 555 9.253389767E-05 1.500000000E+00 1.783843276E-02 0.000000000E+00 1.300000000E+00 2.340643000E-03 
B175FE141_T 1317912116 0 555 9.355450290E-05 1.500000000E+00 1.551939041E-02 0.000000000E+00 1.300000000E+00 2.126897589E-03 
B175FE142_T 1317912116 0 555 9.628238705E-05 1.500000000E+00 6.603525635E-03 0.000000000E+00 1.300000000E+00 2.339410942E-03 
B175FE210_T 1317912116 0 555 9.293099221E-05 1.500000000E+00 1.775189535E-02 0.000000000E+00 1.300000000E+00 2.347115155E-03 
B175FE211_T 1317912116 0 555 9.366832795E-05 1.500000000E+00 1.444890606E-02 0.000000000E+00 1.300000000E+00 1.792598525E-03 
B175FE212_T 1317912116 0 555 9.709236456E-05 1.500000000E+00 5.662723248E-03 0.000000000E+00 1.300000000E+00 2.169690685E-03 
B175FE310_T 1317912116 0 555 9.318103137E-05 1.500000000E+00 1.751841562E-02 0.000000000E+00 1.300000000E+00 2.312652850E-03 
B175FE311_T 1317912116 0 555 9.360697248E-05 1.500000000E+00 1.330262808E-02 0.000000000E+00 1.300000000E+00 1.722571942E-03 
B175FE312_T 1317912116 0 555 9.845868970E-05 1.500000000E+00 4.941003792E-03 0.000000000E+00 1.300000000E+00 2.380442383E-03 
B175FE460_T 1317912116 0 555 9.334176479E-05 1.500000000E+00 1.717664291E-02 0.000000000E+00 1.300000000E+00 2.257902117E-03 
B175FE461_T 1317912116 0 555 9.412872579E-05 1.500000000E+00 1.212677378E-02 0.000000000E+00 1.300000000E+00 2.242912851E-03 
B175FE462_T 1317912116 0 555 9.942359673E-05 1.500000000E+00 4.111098342E-03 0.000000000E+00 1.300000000E+00 2.803625786E-03 
B175FE680_T 1317912116 0 555 9.347983506E-05 1.500000000E+00 1.682590343E-02 0.000000000E+00 1.300000000E+00 2.216598860E-03 
B175FE681_T 1317912116 0 555 9.468620443E-05 1.500000000E+00 9.947924360E-03 0.000000000E+00 1.300000000E+00 2.367752381E-03 
B175FE682_T 1317912116 0 555 1.002665586E-04 1.500000000E+00 3.733742909E-03 0.000000000E+00 1.300000000E+00 3.086931128E-03 
