fname time Tem kT_1 A Rs Io Rsh Iph Voc Isc Pm FF dev 
0001 12:01:40 305 38.01 2.048E+001 4.401E+002 5.056E-008 5.956E+003 3.066E-004 4.128E-001 2.849E-004 4.976E-005 4.231E-001 1.476E-002 
0002 12:05:50 305.2 37.99 2.034E+001 4.390E+002 5.391E-008 5.921E+003 3.067E-004 4.124E-001 2.848E-004 4.962E-005 4.224E-001 1.707E-002 
0003 12:09:46 305.2 37.99 1.000E+001 8.779E+002 1.000E-015 1.000E+002 3.909E-003 3.909E-001 3.998E-004 3.907E-005 2.500E-001 4.076E-001 
0004 12:23:06 305.2 37.99 2.009E+001 4.375E+002 6.159E-008 5.983E+003 3.063E-004 4.110E-001 2.847E-004 4.929E-005 4.212E-001 8.060E-003 
0005 12:25:36 305.2 37.99 1.995E+001 4.360E+002 6.532E-008 6.048E+003 3.061E-004 4.111E-001 2.848E-004 4.933E-005 4.213E-001 1.248E-002 
0006 12:29:02 305.2 37.99 1.000E+001 8.730E+002 1.000E-015 1.000E+002 3.894E-003 3.894E-001 4.002E-004 3.896E-005 2.500E-001 4.611E-001 
0007 12:32:00 305.2 37.99 1.000E+001 8.706E+002 1.000E-015 1.000E+002 3.889E-003 3.889E-001 4.006E-004 3.895E-005 2.500E-001 4.069E+001 
0008 12:34:40 305.2 37.99 1.000E+001 8.679E+002 1.000E-015 1.000E+002 3.881E-003 3.881E-001 4.009E-004 3.890E-005 2.500E-001 7.600E-002 
0009 12:39:08 305.2 37.99 2.008E+001 4.359E+002 6.318E-008 6.106E+003 3.056E-004 4.100E-001 2.845E-004 4.922E-005 4.220E-001 2.625E-003 
0010 12:43:10 305.3 37.98 2.029E+001 4.373E+002 5.797E-008 5.925E+003 3.064E-004 4.099E-001 2.847E-004 4.918E-005 4.215E-001 9.423E-002 
