fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 Iph Voc Isc FF Pm Vm Im rmsre 
00L1 35320 293.36 39.522 1.000000000E+00 1.297993433E+00 1.543447477E-12 1.000000000E+20 4.647978260E+00 3.854033307E-05 2.456418821E-03 4.859862228E-01 2.455418821E-03 5.055511201E-01 6.032740091E-04 3.336854169E-01 1.808078499E-03 4.551473212E-01 
00L2 35450 306.24 37.86 1.000000000E+00 1.577922052E+00 1.815743623E-11 1.000000000E+20 4.786526796E+00 5.411076827E-05 2.442513787E-03 4.588610384E-01 2.441513787E-03 5.164091751E-01 5.785412299E-04 3.254737967E-01 1.777460926E-03 1.879153239E-01 
00L3 35572 319.85 36.249 1.000000000E+00 1.593721018E+00 1.851907915E-10 1.000000000E+20 4.876577492E+00 7.327592136E-05 2.426535761E-03 4.228192645E-01 2.425535761E-03 5.322032478E-01 5.458080906E-04 3.046993585E-01 1.791308044E-03 3.899864040E-01 
00L4 35688 328.38 35.307 1.000000000E+00 1.681717624E+00 7.549216585E-10 1.000000000E+20 4.921829690E+00 8.833111004E-05 2.412537079E-03 3.986888330E-01 2.411537079E-03 5.348917440E-01 5.142732203E-04 2.914439568E-01 1.764726162E-03 9.896492061E-02 
00L5 35810 326.23 35.54 1.000000000E+00 1.584701078E+00 4.754581045E-10 1.000000000E+20 4.457946316E+00 6.610401614E-05 2.414108308E-03 5.550000000E+02 2.413108308E-03 3.924346803E-04 5.255780001E-04 2.959836721E-01 1.775642756E-03 1.053007193E-01 
00L6 35926 322.96 35.9 1.000000000E+00 1.708537520E+00 2.671141095E-10 1.000000000E+20 4.924794463E+00 7.745379422E-05 2.422713042E-03 4.200889684E-01 2.421713042E-03 5.321669334E-01 5.413920119E-04 3.084461622E-01 1.754923442E-03 1.976191775E-01 
00L7 36052 321.85 36.024 1.000000000E+00 1.711049430E+00 4.647978276E-10 1.000000000E+20 4.955411473E+00 8.715409165E-05 2.414082212E-03 4.012143043E-01 2.411855674E-03 -5.735420429E+05 -5.550000000E+02 5.550000000E+02 -5.550000000E+02 7.489594977E-02 
00L8 36176 321.81 36.028 1.000000000E+00 1.689850952E+00 4.323722860E-10 1.000000000E+20 5.000000000E+00 9.433718628E-05 2.414722887E-03 3.998576416E-01 2.413722887E-03 5.272247595E-01 5.088486258E-04 2.896561009E-01 1.756746241E-03 1.711265686E-01 
00L9 36298 321.57 36.055 1.000000000E+00 1.657077156E+00 1.941817785E-10 1.000000000E+20 4.759069159E+00 7.088811815E-05 2.419797143E-03 4.204084429E-01 2.418797143E-03 5.333974908E-01 5.424027023E-04 3.062165385E-01 1.771399463E-03 2.928656953E-01 
0L10 36410 321.17 36.1 1.000000000E+00 1.689574434E+00 1.851801890E-10 1.000000000E+20 4.776536190E+00 7.037576010E-05 2.419461919E-03 4.228516260E-01 2.418461919E-03 5.347525398E-01 5.468649816E-04 3.044210745E-01 1.796434102E-03 1.205038620E-01 
0L11 36536 320.93 36.127 1.000000000E+00 1.683320967E+00 1.727982246E-10 1.000000000E+20 4.765127024E+00 7.056536867E-05 2.423594193E-03 4.246123515E-01 2.422594193E-03 5.316908455E-01 5.469309218E-04 3.101245953E-01 1.763289769E-03 2.106210953E-01 
0L12 36652 320.69 36.154 1.000000000E+00 1.650760580E+00 1.672966127E-10 1.000000000E+20 4.743406869E+00 6.880564735E-05 2.420560048E-03 4.226278794E-01 2.419560048E-03 5.334267212E-01 5.454680464E-04 3.090772367E-01 1.764761253E-03 1.855582462E-01 
