N_B Fe100 Fe140 Fe210 Fe310 Fe460 Fe680 Fe101 Fe141 Fe211 Fe311 Fe461 Fe681 Fe102 Fe142 Fe212 Fe312 Fe462 Fe682 Fe103
Fe 1.000000000E+01 1.016672606E+01 1.033324570E+01 1.049996187E+01 1.066670514E+01 1.083333839E+01 1.100000000E+01 1.116672606E+01 1.133324570E+01 1.149996187E+01 1.166670514E+01 1.183333839E+01 1.200000000E+01 1.216672606E+01 1.233324570E+01 1.249996187E+01 1.266670514E+01 1.283333839E+01 1.300000000E+01
1.500000000E+01 1.835902500E-02 1.854685100E-02 1.856672100E-02 1.842106000E-02 1.809493700E-02 1.755711300E-02 1.676376200E-02 1.566776200E-02 1.423770300E-02 1.248911000E-02 1.052206100E-02 8.541979000E-03 6.823579000E-03 5.598635000E-03 4.925512000E-03 4.661744000E-03 -3.126557000E-03 -1.580458000E-02 -2.351009100E-02
1.600000000E+01 -1.841460000E-03 -2.164804000E-03 -2.122217000E-03 -1.679603000E-03 -7.869540000E-04 6.184430000E-04 2.594298000E-03 5.157352000E-03 8.233905000E-03 1.161923000E-02 1.498936700E-02 1.799561900E-02 2.040506400E-02 2.218289400E-02 2.345159700E-02 2.437989500E-02 2.509945300E-02 2.568516500E-02 2.617190100E-02
1.700000000E+01 6.430044900E-02 7.178153300E-02 7.710404600E-02 8.010398100E-02 8.089229600E-02 7.978299800E-02 7.724517100E-02 7.384549600E-02 7.016082200E-02 6.667514500E-02 6.370945800E-02 6.141239000E-02 5.979999400E-02 5.881132300E-02 5.835456700E-02 5.818164400E-02 5.841094000E-02 5.903475500E-02 5.992294100E-02
1.549996187E+01 -1.641707560E-01 -1.660516360E-01 -1.675161830E-01 -1.687641600E-01 -1.699631950E-01 -1.712628450E-01 -1.728024560E-01 -1.747084890E-01 -1.770770850E-01 -1.768828090E-01 -1.470511400E-01 -1.172057560E-01 -9.066890000E-02 -6.949040100E-02 -5.371520600E-02 -4.210399500E-02 -3.326660400E-02 -2.624675200E-02 -2.053911700E-02
1.649996187E+01 5.587394000E-02 5.865159900E-02 6.052275300E-02 6.157531700E-02 6.187586000E-02 6.147401200E-02 6.042497300E-02 5.882071900E-02 5.681626600E-02 5.463181900E-02 5.251662100E-02 5.068557000E-02 4.926458800E-02 4.827755700E-02 4.767543600E-02 4.738098200E-02 4.732276900E-02 4.744764400E-02 4.767927700E-02
1.674996808E+01 6.515922200E-02 7.037481400E-02 7.395696700E-02 7.594538900E-02 7.644145600E-02 7.558700200E-02 7.358964900E-02 7.075416900E-02 6.747899000E-02 6.419373400E-02 6.126170900E-02 5.890342200E-02 5.718299600E-02 5.605205400E-02 5.541238900E-02 5.516292600E-02 5.525088600E-02 5.545967700E-02 5.588115300E-02
1.624993176E+01 3.500258100E-02 3.588299500E-02 3.652015800E-02 3.697387800E-02 3.728621800E-02 3.748496400E-02 3.758643500E-02 3.759678100E-02 3.751457000E-02 3.733748300E-02 3.707411700E-02 3.675627400E-02 3.643956400E-02 3.618516200E-02 3.603416000E-02 3.599583800E-02 3.605625600E-02 3.619444800E-02 3.639233000E-02
1.574996808E+01 -8.655539300E-02 -8.761308800E-02 -8.747955300E-02 -8.610249000E-02 -8.333921500E-02 -7.897040600E-02 -7.274990000E-02 -6.450981400E-02 -5.432543500E-02 -4.269417200E-02 -3.059577300E-02 -1.927499900E-02 -9.765424000E-03 -2.476133000E-03 2.820071000E-03 6.653684000E-03 9.522143000E-03 1.175493100E-02 1.352570900E-02
1.524993176E+01 -4.526151500E-02 -4.562039400E-02 -4.635946300E-02 -4.760147400E-02 -4.951553200E-02 -5.233169200E-02 -5.634590200E-02 -6.190497100E-02 -6.935208200E-02 -7.891087400E-02 -9.050176800E-02 -1.035446000E-01 -1.168996750E-01 -1.291158240E-01 -1.389846190E-01 -1.460090660E-01 -1.339492980E-01 -1.181348510E-01 -1.045285070E-01
