N_Fe N_B T d n_FeB n_FeB_SRH
1.000000E+10 1.000E+17 305 2.100E-4 1.215448994E+00 1.266327456E+00
1.468000E+10 1.000E+17 305 2.100E-4 1.248695993E+00 1.267040358E+00
2.154000E+10 1.000E+17 305 2.100E-4 1.256498511E+00 1.268998186E+00
3.162000E+10 1.000E+17 305 2.100E-4 1.262081542E+00 1.271050008E+00
4.642000E+10 1.000E+17 305 2.100E-4 1.267346103E+00 1.273410677E+00
6.813000E+10 1.000E+17 305 2.100E-4 1.271907083E+00 1.276121279E+00
1.000000E+11 1.000E+17 305 2.100E-4 1.276390729E+00 1.279267311E+00
1.468000E+11 1.000E+17 305 2.100E-4 1.281376070E+00 1.283212561E+00
2.154000E+11 1.000E+17 305 2.100E-4 1.286105090E+00 1.287046298E+00
3.162000E+11 1.000E+17 305 2.100E-4 1.290236422E+00 1.290826525E+00
4.642000E+11 1.000E+17 305 2.100E-4 1.294324602E+00 1.294696521E+00
6.813000E+11 1.000E+17 305 2.100E-4 1.298104285E+00 1.298658621E+00
1.000000E+12 1.000E+17 305 2.100E-4 1.302187432E+00 1.302727903E+00
1.468000E+12 1.000E+17 305 2.100E-4 1.306266609E+00 1.306713810E+00
2.154000E+12 1.000E+17 305 2.100E-4 1.310989863E+00 1.311355806E+00
3.162000E+12 1.000E+17 305 2.100E-4 1.302163268E+00 1.302494919E+00
4.642000E+12 1.000E+17 305 2.100E-4 1.310427696E+00 1.310710365E+00
6.813000E+12 1.000E+17 305 2.100E-4 1.328633636E+00 1.328937306E+00
1.000000E+13 1.000E+17 305 2.100E-4 1.334095986E+00 1.334322513E+00
