N_Fe N_B T d Jsc_FeB Eta_FeB Voc_FeB FF_FeB
1.000000E+10 1.000E+17 290 3.300E-4 3.540393E+1 1.858570E+1 6.276630E-1 8.363720E+1
1.468000E+10 1.000E+17 290 3.300E-4 3.514303E+1 1.843480E+1 6.272380E-1 8.363090E+1
2.154000E+10 1.000E+17 290 3.300E-4 3.480976E+1 1.824200E+1 6.266860E-1 8.362230E+1
3.162000E+10 1.000E+17 290 3.300E-4 3.440038E+1 1.800510E+1 6.259950E-1 8.361070E+1
4.642000E+10 1.000E+17 290 3.300E-4 3.391756E+1 1.772540E+1 6.251550E-1 8.359550E+1
6.813000E+10 1.000E+17 290 3.300E-4 3.336907E+1 1.740700E+1 6.241640E-1 8.357570E+1
1.000000E+11 1.000E+17 290 3.300E-4 3.276429E+1 1.704760E+1 6.230180E-1 8.351460E+1
1.468000E+11 1.000E+17 290 3.300E-4 3.211059E+1 1.666620E+1 6.217080E-1 8.348390E+1
2.154000E+11 1.000E+17 290 3.300E-4 3.141197E+1 1.625790E+1 6.202190E-1 8.344950E+1
3.162000E+11 1.000E+17 290 3.300E-4 3.066975E+1 1.582320E+1 6.184440E-1 8.342250E+1
4.642000E+11 1.000E+17 290 3.300E-4 2.988414E+1 1.536220E+1 6.164530E-1 8.338960E+1
6.813000E+11 1.000E+17 290 3.300E-4 2.905521E+1 1.487470E+1 6.142460E-1 8.334540E+1
1.000000E+12 1.000E+17 290 3.300E-4 2.818352E+1 1.435470E+1 6.118090E-1 8.324960E+1
1.468000E+12 1.000E+17 290 3.300E-4 2.727037E+1 1.381730E+1 6.090650E-1 8.318960E+1
2.154000E+12 1.000E+17 290 3.300E-4 2.631795E+1 1.325800E+1 6.059650E-1 8.313380E+1
3.162000E+12 1.000E+17 290 3.300E-4 2.532942E+1 1.267250E+1 6.026410E-1 8.301950E+1
4.642000E+12 1.000E+17 290 3.300E-4 2.430896E+1 1.207570E+1 5.990120E-1 8.292950E+1
6.813000E+12 1.000E+17 290 3.300E-4 2.326172E+1 1.146680E+1 5.950050E-1 8.284740E+1
1.000000E+13 1.000E+17 290 3.300E-4 2.219380E+1 1.084330E+1 5.908140E-1 8.269470E+1
1.468000E+13 1.000E+17 290 3.300E-4 2.111209E+1 1.022160E+1 5.862100E-1 8.259110E+1
2.154000E+13 1.000E+17 290 3.300E-4 2.002419E+1 9.596200E+0 5.814430E-1 8.242090E+1
3.162000E+13 1.000E+17 290 3.300E-4 1.893817E+1 8.981400E+0 5.763250E-1 8.228870E+1
4.642000E+13 1.000E+17 290 3.300E-4 1.786239E+1 8.374000E+0 5.710710E-1 8.209230E+1
6.813000E+13 1.000E+17 290 3.300E-4 1.680522E+1 7.786400E+0 5.654850E-1 8.193570E+1
1.000000E+14 1.000E+17 290 3.300E-4 1.577480E+1 7.215700E+0 5.598410E-1 8.170520E+1
