T d154 d184 d214 d244
d 150 180 210 240
290 1.202433400E+00 1.199248596E+00 1.196603392E+00 1.194659902E+00
295 1.202925629E+00 1.200106576E+00 1.197652708E+00 1.195798886E+00
300 1.204123605E+00 1.201433851E+00 1.199159214E+00 1.197167093E+00
305 1.205250001E+00 1.202543979E+00 1.200198223E+00 1.198138018E+00
310 1.205504349E+00 1.202559722E+00 1.199979219E+00 1.197664288E+00
315 1.202773652E+00 1.199426711E+00 1.196199639E+00 1.193376907E+00
320 1.194007429E+00 1.189184451E+00 1.184665404E+00 1.180599087E+00
325 1.170410744E+00 1.162366351E+00 1.155194860E+00 1.148979211E+00
330 1.117621734E+00 1.103732891E+00 1.091899921E+00 1.082067657E+00
335 1.019587858E+00 1.010602106E+00 1.009668875E+00 1.008953491E+00
340 1.012422847E+00 1.011328197E+00 1.010508024E+00 1.009857110E+00
