fname time Tem kT_1 n0 Eefo E_B E_T Tm dev 
B566FE100_T 1317912115 0 555 4.969727253E-07 5.180000000E-01 1.659483204E-19 0.000000000E+00 2.200000000E+00 9.573063329E-05 
B566FE101_T 1317912115 0 555 5.114376959E-07 5.180000000E-01 1.520517498E-19 0.000000000E+00 2.200000000E+00 1.359942386E-04 
B566FE102_T 1317912115 0 555 5.622554607E-07 5.180000000E-01 1.463291892E-19 0.000000000E+00 2.200000000E+00 6.017936723E-04 
B566FE103_T 1317912115 0 555 5.842773633E-07 5.180000000E-01 5.831753507E-21 0.000000000E+00 2.200000000E+00 6.612141254E-04 
B566FE140_T 1317912115 0 555 4.979465733E-07 5.180000000E-01 1.655571326E-19 0.000000000E+00 2.200000000E+00 9.701253508E-05 
B566FE141_T 1317912115 0 555 5.163841039E-07 5.180000000E-01 1.426772306E-19 0.000000000E+00 2.200000000E+00 1.711952357E-04 
B566FE142_T 1317912115 0 555 5.709176730E-07 5.180000000E-01 1.362071086E-19 0.000000000E+00 2.200000000E+00 5.432924064E-04 
B566FE210_T 1317912115 0 555 4.993171243E-07 5.180000000E-01 1.648643225E-19 0.000000000E+00 2.200000000E+00 9.908677272E-05 
B566FE211_T 1317912115 0 555 5.233496896E-07 5.180000000E-01 1.439022755E-19 0.000000000E+00 2.200000000E+00 2.363183224E-04 
B566FE212_T 1317912115 0 555 5.779563286E-07 5.180000000E-01 1.188091329E-19 0.000000000E+00 2.200000000E+00 6.738631748E-04 
B566FE310_T 1317912115 0 555 5.012187257E-07 5.180000000E-01 1.636753781E-19 0.000000000E+00 2.200000000E+00 1.026122675E-04 
B566FE311_T 1317912115 0 555 5.343014109E-07 5.180000000E-01 1.692949995E-19 0.000000000E+00 2.200000000E+00 3.689940198E-04 
B566FE312_T 1317912115 0 555 5.860552001E-07 5.180000000E-01 1.058475016E-19 0.000000000E+00 2.200000000E+00 6.369029047E-04 
B566FE460_T 1317912115 0 555 5.037955025E-07 5.180000000E-01 1.616033571E-19 0.000000000E+00 2.200000000E+00 1.084619750E-04 
B566FE461_T 1317912115 0 555 5.390807038E-07 5.180000000E-01 1.301606316E-19 0.000000000E+00 2.200000000E+00 3.309012846E-04 
B566FE462_T 1317912115 0 555 5.906546245E-07 5.180000000E-01 8.450988240E-20 0.000000000E+00 2.200000000E+00 6.142226656E-04 
B566FE680_T 1317912115 0 555 5.071767065E-07 5.180000000E-01 1.580208981E-19 0.000000000E+00 2.200000000E+00 1.186270667E-04 
B566FE681_T 1317912115 0 555 5.521593177E-07 5.180000000E-01 1.379076664E-19 0.000000000E+00 2.200000000E+00 4.644062599E-04 
B566FE682_T 1317912115 0 555 5.931587152E-07 5.180000000E-01 5.958822381E-20 0.000000000E+00 2.200000000E+00 4.955353054E-04 
