Method Finner Holm Hochberg Holland
PSO 3.981459606E-10 3.981459606E-10 3.981459606E-10 3.981459606E-10
DE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
GOTLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
ISCA 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
CWOA 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
WW 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
