Method Finner Holm Hochberg Holland
PSO 1.300018036E-14 1.300000000E-14 1.300000000E-14 1.300018036E-14
WW 2.279676448E-11 4.208633442E-11 4.208633442E-11 4.208633442E-11
ISCA 2.680862937E-11 6.805267461E-11 6.805267461E-11 6.805267461E-11
NNA 3.043467613E-08 9.364515829E-08 9.364515829E-08 9.364515435E-08
CWOA 2.339305638E-04 8.098179366E-04 8.098179366E-04 8.095265289E-04
IJAYA 9.343521139E-04 3.450783762E-03 3.450783762E-03 3.445578544E-03
GOTLBO 3.351033842E-03 1.264060345E-02 1.264060345E-02 1.257232996E-02
DE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
