Method Finner Holm Hochberg Holland
NDE 1.300018036E-14 1.300000000E-14 8.000000000E-15 1.300018036E-14
GOTLBO 1.300018036E-14 1.300000000E-14 8.000000000E-15 1.300018036E-14
IJAYA 1.300018036E-14 1.300000000E-14 8.000000000E-15 1.300018036E-14
NNA 1.300018036E-14 1.300000000E-14 8.000000000E-15 1.300018036E-14
CWOA 1.300018036E-14 1.300000000E-14 8.000000000E-15 1.300018036E-14
WW 1.300018036E-14 1.300000000E-14 8.000000000E-15 1.300018036E-14
MABC 1.308973247E-10 4.933822240E-10 4.671942833E-10 4.933822239E-10
PSO 1.308973247E-10 4.933822240E-10 4.671942833E-10 4.933822239E-10
DE 1.378389995E-10 4.933822240E-10 4.771349982E-10 4.933822239E-10
ISCA 2.510319936E-06 7.724063579E-06 7.724063579E-06 7.724041206E-06
TLBO 2.976273939E-04 7.555329912E-04 7.555329912E-04 7.553427304E-04
EBLSHADE 5.750036684E-02 1.063942856E-01 1.063942856E-01 1.035643496E-01
STLBO 9.970743282E-01 9.970743282E-01 9.970743282E-01 9.970743282E-01
