Method Finner Holm Hochberg Holland
NNA 9.031184686E-10 9.031184689E-10 9.031184689E-10 9.031184686E-10
PSO 5.396841095E-08 9.963399172E-08 9.963399172E-08 9.963398717E-08
ISCA 4.177810863E-06 1.060522923E-05 1.060522923E-05 1.060517811E-05
WW 7.309579375E-03 2.254815691E-02 2.254815691E-02 2.232073845E-02
DE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
GOTLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
