Method Finner Holm Hochberg Holland
PSO 1.231571331E-04 1.231641341E-04 1.231641341E-04 1.231571331E-04
ISCA 9.535814417E-03 2.251886309E-02 2.251886309E-02 2.229203338E-02
NNA 9.535814417E-03 1.767602371E-02 1.767602371E-02 1.753352201E-02
CWOA 9.535814417E-03 2.926302868E-02 2.926302868E-02 2.888531324E-02
WW 9.535814417E-03 2.057752775E-02 2.057752775E-02 2.038613357E-02
GOTLBO 1.778682343E-02 6.599182551E-02 5.945626977E-02 6.411765877E-02
IJAYA 1.778682343E-02 6.599182551E-02 5.945626977E-02 6.411765877E-02
MABC 3.240648255E-02 1.204117683E-01 1.204117683E-01 1.145297599E-01
DE 7.197265813E-02 2.519850572E-01 2.519850572E-01 2.278345532E-01
NDE 1.396013882E-01 4.368919524E-01 4.368919524E-01 3.703836417E-01
TLBO 6.591555021E-01 1.000000000E+00 1.000000000E+00 9.349253089E-01
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
