Method Finner Holm Hochberg Holland
PSO 1.300018036E-14 1.300000000E-14 1.300000000E-14 1.300018036E-14
NNA 1.747824108E-12 3.226752199E-12 3.226752199E-12 3.226752199E-12
ISCA 5.513516178E-08 1.399584906E-07 1.399584906E-07 1.399584817E-07
WW 3.836225000E-04 1.180533702E-03 1.180533702E-03 1.179906753E-03
CWOA 7.640835414E-01 1.000000000E+00 1.000000000E+00 9.932581587E-01
IJAYA 9.206047388E-01 1.000000000E+00 1.000000000E+00 9.999133631E-01
DE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
