Method Finner Holm Hochberg Holland
PSO 6.231775500E-01 9.402449056E-01 9.402449056E-01 6.231775500E-01
ISCA 9.966351485E-01 1.000000000E+00 1.000000000E+00 9.999857027E-01
NNA 9.966351485E-01 1.000000000E+00 1.000000000E+00 9.999728107E-01
CWOA 9.966351485E-01 1.000000000E+00 1.000000000E+00 9.999969012E-01
WW 9.966351485E-01 1.000000000E+00 1.000000000E+00 9.999834750E-01
IJAYA 9.999720334E-01 1.000000000E+00 1.000000000E+00 1.000000000E+00
DE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
