Method Finner Holm Hochberg Holland
MABC 4.243272400E-13 4.243272400E-13 4.243272400E-13 4.243272400E-13
IJAYA 1.174838005E-12 2.168931701E-12 2.168931701E-12 2.168931701E-12
GOTLBO 2.082186257E-12 5.285549776E-12 5.285549776E-12 5.285549776E-12
CWOA 1.276012629E-11 3.926192704E-11 3.926192704E-11 3.926192704E-11
DE 1.393005711E-10 4.821942845E-10 4.573834644E-10 4.821942844E-10
WW 1.393005711E-10 4.821942845E-10 4.573834644E-10 4.821942844E-10
ISCA 1.599928126E-10 6.030498323E-10 6.030498323E-10 6.030498321E-10
NNA 6.613103952E-10 2.441761460E-09 2.441761460E-09 2.441761457E-09
PSO 2.305564257E-09 7.980799355E-09 7.980799355E-09 7.980799329E-09
NDE 2.709913590E-06 8.338198268E-06 8.338198268E-06 8.338172196E-06
TLBO 9.992399367E-02 2.556821463E-01 2.556821463E-01 2.345100931E-01
EBLSHADE 8.442983171E-01 1.000000000E+00 9.333219883E-01 9.677262685E-01
STLBO 9.333219883E-01 1.000000000E+00 9.333219883E-01 9.677262685E-01
