Method Finner Holm Hochberg Holland
PSO 8.499093344E-05 8.499426753E-05 8.499426753E-05 8.499093344E-05
ISCA 7.237140037E-03 1.723291811E-02 1.723291811E-02 1.709989233E-02
NNA 7.237140037E-03 1.340196627E-02 1.340196627E-02 1.331994948E-02
CWOA 7.237140037E-03 2.257987288E-02 2.257987288E-02 2.235459413E-02
WW 7.237140037E-03 1.568303911E-02 1.568303911E-02 1.557171698E-02
GOTLBO 1.404538001E-02 5.205739527E-02 4.693576281E-02 5.088708747E-02
IJAYA 1.404538001E-02 5.205739527E-02 4.693576281E-02 5.088708747E-02
MABC 2.618826471E-02 9.718808731E-02 9.718808731E-02 9.333642554E-02
DE 5.975076443E-02 2.087821309E-01 2.087821309E-01 1.920591306E-01
NDE 1.188622282E-01 3.710080436E-01 3.710080436E-01 3.225081782E-01
TLBO 6.045416845E-01 1.000000000E+00 9.884469244E-01 9.051023072E-01
EBLSHADE 9.497447939E-01 1.000000000E+00 9.884469244E-01 9.959988907E-01
STLBO 9.884469244E-01 1.000000000E+00 9.884469244E-01 9.959988907E-01
