Method Finner Holm Hochberg Holland
PSO 1.300018036E-14 1.300000000E-14 1.300000000E-14 1.300018036E-14
NNA 1.154631946E-13 2.131628207E-13 2.131628207E-13 2.131628207E-13
ISCA 1.693460368E-13 4.298783551E-13 4.298783551E-13 4.298783551E-13
WW 2.554623180E-13 7.860379014E-13 7.860379014E-13 7.860379014E-13
CWOA 6.622968829E-12 2.292566137E-11 2.292566137E-11 2.292566137E-11
GOTLBO 5.565903294E-11 2.055102755E-10 2.055102755E-10 2.055102755E-10
IJAYA 1.244033448E-10 4.689049149E-10 4.689049149E-10 4.689049148E-10
MABC 6.406775547E-09 2.365578666E-08 2.365578666E-08 2.365578643E-08
DE 1.869177250E-06 6.470230802E-06 6.470230802E-06 6.470214057E-06
NDE 3.242486741E-03 9.980619936E-03 9.980619936E-03 9.943327244E-03
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
