Method Finner Holm Hochberg Holland
PSO 5.936301119E-02 6.105416542E-02 6.105416542E-02 5.936301119E-02
GOTLBO 5.463683525E-01 1.000000000E+00 1.000000000E+00 9.412460306E-01
IJAYA 5.463683525E-01 1.000000000E+00 1.000000000E+00 9.412460306E-01
ISCA 5.463683525E-01 1.000000000E+00 1.000000000E+00 7.941125686E-01
NNA 5.463683525E-01 1.000000000E+00 1.000000000E+00 7.676077928E-01
CWOA 5.463683525E-01 1.000000000E+00 1.000000000E+00 8.321067705E-01
WW 5.463683525E-01 1.000000000E+00 1.000000000E+00 7.878520302E-01
MABC 6.429949850E-01 1.000000000E+00 1.000000000E+00 9.776984043E-01
DE 8.431717852E-01 1.000000000E+00 1.000000000E+00 9.983596749E-01
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
