Method Finner Holm Hochberg Holland
PSO 1.243418122E-03 1.244132271E-03 1.244132271E-03 1.243418122E-03
ISCA 5.082902699E-02 1.149680635E-01 1.149680635E-01 1.091988527E-01
NNA 5.082902699E-02 9.592165190E-02 9.592165190E-02 9.181491285E-02
CWOA 5.082902699E-02 1.414990499E-01 1.414990499E-01 1.329192595E-01
WW 5.082902699E-02 1.079196175E-01 1.079196175E-01 1.027784870E-01
GOTLBO 7.326249867E-02 2.760536157E-01 2.475391170E-01 2.449180169E-01
IJAYA 7.326249867E-02 2.760536157E-01 2.475391170E-01 2.449180169E-01
MABC 1.147511287E-01 4.335783487E-01 4.335783487E-01 3.623988355E-01
DE 2.132751605E-01 7.650589374E-01 7.650589374E-01 5.641000375E-01
NDE 3.508480409E-01 1.000000000E+00 1.000000000E+00 7.353912375E-01
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
