Method Finner Holm Hochberg Holland
PSO 1.120648154E-07 1.120648212E-07 1.120648212E-07 1.120648154E-07
NNA 1.321480280E-02 2.453407696E-02 2.453407696E-02 2.426006804E-02
ISCA 2.564465864E-02 6.574994902E-02 6.574994902E-02 6.381974237E-02
WW 2.566578905E-02 7.968360432E-02 7.968360432E-02 7.688621507E-02
CWOA 7.516436403E-02 2.664579526E-01 2.664579526E-01 2.369883756E-01
GOTLBO 1.368597131E-01 5.253805091E-01 5.253805091E-01 4.192451891E-01
IJAYA 1.600751260E-01 6.275794082E-01 6.275794082E-01 4.818628330E-01
MABC 4.306024905E-01 1.000000000E+00 1.000000000E+00 8.749974125E-01
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
