Method Finner Holm Hochberg Holland
IJAYA 4.618527782E-13 4.618527782E-13 4.618527782E-13 4.618527782E-13
GOTLBO 6.494804694E-13 1.199040867E-12 1.199040867E-12 1.199040867E-12
MABC 7.572460996E-13 1.922240145E-12 1.922240145E-12 1.922240145E-12
CWOA 3.151423567E-12 9.696687897E-12 9.696687897E-12 9.696687897E-12
WW 4.240270358E-11 1.467785893E-10 1.467785893E-10 1.467785893E-10
ISCA 5.894396082E-11 2.176392400E-10 2.176392400E-10 2.176392400E-10
NNA 2.683447115E-10 1.011453143E-09 1.011453143E-09 1.011453143E-09
DE 4.094894978E-10 1.511961223E-09 1.511961223E-09 1.511961222E-09
PSO 1.408658992E-09 4.876127280E-09 4.876127280E-09 4.876127270E-09
NDE 8.116973433E-06 2.497532626E-05 2.497532626E-05 2.497509235E-05
TLBO 1.577018989E-01 4.054988172E-01 4.054988172E-01 3.531585308E-01
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
