Method Finner Holm Hochberg Holland
PSO 4.361710386E-03 4.370515561E-03 4.370515561E-03 4.361710386E-03
NNA 9.470473488E-01 1.000000000E+00 1.000000000E+00 9.955934329E-01
ISCA 9.731830223E-01 1.000000000E+00 1.000000000E+00 9.998975342E-01
WW 9.731830223E-01 1.000000000E+00 1.000000000E+00 9.999551701E-01
DE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
GOTLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
