Method Finner Holm Hochberg Holland
GOTLBO 1.300018036E-14 1.300000000E-14 1.000000000E-14 1.300018036E-14
PSO 1.300018036E-14 1.300000000E-14 1.000000000E-14 1.300018036E-14
IJAYA 1.300018036E-14 1.300000000E-14 1.000000000E-14 1.300018036E-14
CWOA 1.300018036E-14 1.300000000E-14 1.000000000E-14 1.300018036E-14
DE 2.467217544E-11 8.540368412E-11 8.540368412E-11 8.540368412E-11
WW 2.521619952E-11 9.310596738E-11 9.310596738E-11 9.310596738E-11
ISCA 5.415100112E-11 2.041076197E-10 2.041076197E-10 2.041076197E-10
NNA 8.838635379E-11 3.263496140E-10 3.263496140E-10 3.263496140E-10
MABC 1.311347253E-09 4.539278953E-09 4.539278953E-09 4.539278944E-09
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
