Method Finner Holm Hochberg Holland
PSO 9.098308630E-05 9.098690710E-05 9.098690710E-05 9.098308630E-05
ISCA 7.614174816E-03 1.810292008E-02 1.810292008E-02 1.795615767E-02
NNA 7.614174816E-03 1.410243422E-02 1.410243422E-02 1.401163764E-02
CWOA 7.614174816E-03 2.368402985E-02 2.368402985E-02 2.343625095E-02
WW 7.614174816E-03 1.648710069E-02 1.648710069E-02 1.636409801E-02
GOTLBO 1.467039414E-02 5.438318083E-02 4.902625221E-02 5.310670449E-02
IJAYA 1.467039414E-02 5.438318083E-02 4.902625221E-02 5.310670449E-02
MABC 2.723835759E-02 1.011059425E-01 1.011059425E-01 9.694110179E-02
DE 6.184173519E-02 2.161611520E-01 2.161611520E-01 1.982616008E-01
NDE 1.224547830E-01 3.823949783E-01 3.823949783E-01 3.309714886E-01
TLBO 6.144120638E-01 1.000000000E+00 1.000000000E+00 9.109999470E-01
EBLSHADE 9.595830997E-01 1.000000000E+00 1.000000000E+00 9.973239087E-01
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
