Method Finner Holm Hochberg Holland
PSO 1.611478678E-01 1.745385558E-01 1.745385558E-01 1.611478678E-01
GOTLBO 8.030720598E-01 1.000000000E+00 1.000000000E+00 9.956523585E-01
IJAYA 8.030720598E-01 1.000000000E+00 1.000000000E+00 9.956523585E-01
ISCA 8.030720598E-01 1.000000000E+00 1.000000000E+00 9.582413528E-01
NNA 8.030720598E-01 1.000000000E+00 1.000000000E+00 9.502053392E-01
CWOA 8.030720598E-01 1.000000000E+00 1.000000000E+00 9.705092879E-01
WW 8.030720598E-01 1.000000000E+00 1.000000000E+00 9.569685012E-01
MABC 8.680968143E-01 1.000000000E+00 1.000000000E+00 9.994354378E-01
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
