Method Finner Holm Hochberg Holland
PSO 5.484501742E-13 5.484501742E-13 5.484501742E-13 5.484501742E-13
NNA 6.215870929E-06 1.147548420E-05 1.147548420E-05 1.147542384E-05
ISCA 2.156543088E-05 5.474347091E-05 5.474347091E-05 5.474210873E-05
WW 2.540317596E-05 7.816430568E-05 7.816430568E-05 7.816155639E-05
CWOA 1.702938332E-04 5.895095439E-04 5.895095439E-04 5.893551135E-04
GOTLBO 5.519565918E-04 2.038296509E-03 2.038296509E-03 2.036479774E-03
IJAYA 8.196976065E-04 3.090214111E-03 3.090214111E-03 3.086124511E-03
MABC 6.692206772E-03 2.474158561E-02 2.474158561E-02 2.448792278E-02
DE 9.847626645E-02 3.462789350E-01 3.462789350E-01 3.015236220E-01
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
